pp_no,condition,trial,muscle,bin,Zdiff
pp481,429,trial5,brow,diff_bin20,1.64199883960008
pp481,429,trial5,cheek,diff_bin1,-0.243005299195793
pp481,429,trial5,cheek,diff_bin2,0.825861440395232
pp481,429,trial5,cheek,diff_bin3,0.865764965435248
pp481,429,trial5,cheek,diff_bin4,0.64400723645883
pp481,429,trial5,cheek,diff_bin5,0.147133909693845
pp481,429,trial5,cheek,diff_bin6,-0.576312771823923
pp481,429,trial5,cheek,diff_bin7,-0.505769368275518
pp481,429,trial5,cheek,diff_bin8,-0.46647239152031
pp481,429,trial5,cheek,diff_bin9,-0.114012697293057
pp481,429,trial5,cheek,diff_bin10,0.0437266172594199
pp481,429,trial5,cheek,diff_bin11,0.519885401085621
pp481,429,trial5,cheek,diff_bin12,0.189684190885756
pp481,429,trial5,cheek,diff_bin13,0.297374081815954
pp481,429,trial5,cheek,diff_bin14,0.0795313463142116
pp481,429,trial5,cheek,diff_bin15,-0.323749742079623
pp481,429,trial5,cheek,diff_bin16,-0.315000742577528
pp481,429,trial5,cheek,diff_bin17,-0.273828980214728
pp481,429,trial5,cheek,diff_bin18,-0.139928851280355
pp481,429,trial5,cheek,diff_bin19,-0.268939833434146
pp481,429,trial5,cheek,diff_bin20,-0.625461563144515
pp481,429,trial6,brow,diff_bin1,-0.10544320585848
pp481,429,trial6,brow,diff_bin2,-0.300157109752964
pp481,429,trial6,brow,diff_bin3,-0.0710379981342328
pp481,429,trial6,brow,diff_bin4,-0.239857862832062
pp481,429,trial6,brow,diff_bin5,-0.278628102524318
pp481,429,trial6,brow,diff_bin6,-0.210706144910021
pp481,429,trial6,brow,diff_bin7,-0.0475904370317427
pp481,429,trial6,brow,diff_bin8,-0.220672324093616
pp481,429,trial6,brow,diff_bin9,-0.279593817561488
pp481,429,trial6,brow,diff_bin10,-0.552389001261299
pp481,429,trial6,brow,diff_bin11,-0.294285562326969
pp481,429,trial6,brow,diff_bin12,-0.243720722980743
pp481,429,trial6,brow,diff_bin13,-0.177936214648715
pp481,429,trial6,brow,diff_bin14,NA
pp481,429,trial6,brow,diff_bin15,-0.108636503581389
pp481,429,trial6,brow,diff_bin16,-0.34194038036119
pp481,429,trial6,brow,diff_bin17,-0.265082339602945
pp481,429,trial6,brow,diff_bin18,-0.281885781249705
pp481,429,trial6,brow,diff_bin19,-0.123984934572146
