pp_no,condition,bin,bin_no,trial,muscle,rms,outlier1.5SD
pp481,429,bin_14,14,trial5,cheek,9.3089,FALSE
pp481,429,bin_15,15,trial5,cheek,7.1148,FALSE
pp481,429,bin_16,16,trial5,cheek,7.1624,FALSE
pp481,429,bin_17,17,trial5,cheek,7.3864,FALSE
pp481,429,bin_18,18,trial5,cheek,8.1149,FALSE
pp481,429,bin_19,19,trial5,cheek,7.413,FALSE
pp481,429,bin_20,20,trial5,cheek,5.4733,FALSE
pp481,429,bin_0,0,trial6,cheek,3.8809,FALSE
pp481,429,bin_1,1,trial6,cheek,4.1249,FALSE
pp481,429,bin_2,2,trial6,cheek,4.4601,FALSE
pp481,429,bin_3,3,trial6,cheek,3.9499,FALSE
pp481,429,bin_4,4,trial6,cheek,4.6188,FALSE
pp481,429,bin_5,5,trial6,cheek,3.6757,FALSE
pp481,429,bin_6,6,trial6,cheek,3.9135,FALSE
pp481,429,bin_7,7,trial6,cheek,3.3041,FALSE
pp481,429,bin_8,8,trial6,cheek,3.6037,FALSE
pp481,429,bin_9,9,trial6,cheek,4.2564,FALSE
pp481,429,bin_10,10,trial6,cheek,6.0957,FALSE
pp481,429,bin_11,11,trial6,cheek,4.8782,FALSE
pp481,429,bin_12,12,trial6,cheek,5.3867,FALSE
pp481,429,bin_13,13,trial6,cheek,5.8658,FALSE
pp481,429,bin_14,14,trial6,cheek,5.2732,FALSE
pp481,429,bin_15,15,trial6,cheek,5.868,FALSE
pp481,429,bin_16,16,trial6,cheek,4.2709,FALSE
pp481,429,bin_17,17,trial6,cheek,4.7853,FALSE
pp481,429,bin_18,18,trial6,cheek,3.9723,FALSE
pp481,429,bin_19,19,trial6,cheek,5.2743,FALSE
pp481,429,bin_20,20,trial6,cheek,3.8434,FALSE
pp481,429,bin_0,0,trial8,cheek,7.6425,FALSE
pp481,429,bin_1,1,trial8,cheek,7.5328,FALSE
pp481,429,bin_2,2,trial8,cheek,6.4139,FALSE
pp481,429,bin_3,3,trial8,cheek,6.9773,FALSE
pp481,429,bin_4,4,trial8,cheek,4.6185,FALSE
pp481,429,bin_5,5,trial8,cheek,5.3719,FALSE
pp481,429,bin_6,6,trial8,cheek,4.1814,FALSE
pp481,429,bin_7,7,trial8,cheek,5.871,FALSE
pp481,429,bin_8,8,trial8,cheek,5.3909,FALSE
pp481,429,bin_9,9,trial8,cheek,5.8102,FALSE
pp481,429,bin_10,10,trial8,cheek,7.6654,FALSE
pp481,429,bin_11,11,trial8,cheek,6.9909,FALSE
pp481,429,bin_12,12,trial8,cheek,4.738,FALSE
pp481,429,bin_13,13,trial8,cheek,6.3849,FALSE
pp481,429,bin_14,14,trial8,cheek,5.9591,FALSE
pp481,429,bin_15,15,trial8,cheek,4.5975,FALSE
pp481,429,bin_16,16,trial8,cheek,6.509,FALSE
pp481,429,bin_17,17,trial8,cheek,3.9794,FALSE
pp481,429,bin_18,18,trial8,cheek,3.3792,FALSE
pp481,429,bin_19,19,trial8,cheek,3.796,FALSE
pp481,429,bin_20,20,trial8,cheek,3.5142,FALSE
pp481,673,bin_0,0,trial1,brow,11.2308,FALSE
pp481,673,bin_1,1,trial1,brow,13.0658,FALSE
pp481,673,bin_2,2,trial1,brow,10.7179,FALSE
pp481,673,bin_3,3,trial1,brow,12.7313,FALSE
pp481,673,bin_4,4,trial1,brow,10.0145,FALSE
pp481,673,bin_5,5,trial1,brow,8.5579,FALSE
pp481,673,bin_6,6,trial1,brow,10.5809,FALSE
pp481,673,bin_7,7,trial1,brow,9.6223,FALSE
pp481,673,bin_8,8,trial1,brow,11.829,FALSE
pp481,673,bin_9,9,trial1,brow,10.1194,FALSE
pp481,673,bin_10,10,trial1,brow,12.4459,FALSE
pp481,673,bin_11,11,trial1,brow,8.5677,FALSE
pp481,673,bin_12,12,trial1,brow,8.0373,FALSE
pp481,673,bin_13,13,trial1,brow,8.9256,FALSE
pp481,673,bin_14,14,trial1,brow,10.1452,FALSE
pp481,673,bin_15,15,trial1,brow,10.6489,FALSE
pp481,673,bin_16,16,trial1,brow,8.9506,FALSE
pp481,673,bin_17,17,trial1,brow,9.2399,FALSE
pp481,673,bin_18,18,trial1,brow,5.8951,FALSE
pp481,673,bin_19,19,trial1,brow,6.3863,FALSE
pp481,673,bin_20,20,trial1,brow,6.6601,FALSE
pp481,673,bin_0,0,trial2,brow,11.7591,FALSE
pp481,673,bin_1,1,trial2,brow,12.8071,FALSE
pp481,673,bin_2,2,trial2,brow,12.534,FALSE
pp481,673,bin_3,3,trial2,brow,12.0684,FALSE
pp481,673,bin_4,4,trial2,brow,10.3218,FALSE
pp481,673,bin_5,5,trial2,brow,9.586,FALSE
pp481,673,bin_6,6,trial2,brow,9.738,FALSE
pp481,673,bin_7,7,trial2,brow,7.7646,FALSE
pp481,673,bin_8,8,trial2,brow,9.2336,FALSE
pp481,673,bin_9,9,trial2,brow,10.3983,FALSE
pp481,673,bin_10,10,trial2,brow,9.2695,FALSE
pp481,673,bin_11,11,trial2,brow,7.7916,FALSE
pp481,673,bin_12,12,trial2,brow,8.9295,FALSE
pp481,673,bin_13,13,trial2,brow,8.1787,FALSE
pp481,673,bin_14,14,trial2,brow,8.6433,FALSE
pp481,673,bin_15,15,trial2,brow,6.2908,FALSE
pp481,673,bin_16,16,trial2,brow,6.7569,FALSE
pp481,673,bin_17,17,trial2,brow,7.1643,FALSE
pp481,673,bin_18,18,trial2,brow,8.8868,FALSE
pp481,673,bin_19,19,trial2,brow,8.2035,FALSE
pp481,673,bin_20,20,trial2,brow,8.4195,FALSE
pp481,673,bin_0,0,trial3,brow,12.5612,FALSE
pp481,673,bin_1,1,trial3,brow,11.5362,FALSE
pp481,673,bin_2,2,trial3,brow,9.8978,FALSE
pp481,673,bin_3,3,trial3,brow,9.421,FALSE
pp481,673,bin_4,4,trial3,brow,7.6164,FALSE
pp481,673,bin_5,5,trial3,brow,9.4751,FALSE
pp481,673,bin_6,6,trial3,brow,10.6123,FALSE
pp481,673,bin_7,7,trial3,brow,8.6111,FALSE
pp481,673,bin_8,8,trial3,brow,9.6856,FALSE
pp481,673,bin_9,9,trial3,brow,11.3746,FALSE
pp481,673,bin_10,10,trial3,brow,9.894,FALSE
pp481,673,bin_11,11,trial3,brow,10.7614,FALSE
pp481,673,bin_12,12,trial3,brow,8.5942,FALSE
pp481,673,bin_13,13,trial3,brow,9.1703,FALSE
pp481,673,bin_14,14,trial3,brow,9.1513,FALSE
pp481,673,bin_15,15,trial3,brow,11.0889,FALSE
pp481,673,bin_16,16,trial3,brow,8.423,FALSE
pp481,673,bin_17,17,trial3,brow,10.5363,FALSE
pp481,673,bin_18,18,trial3,brow,12.1546,FALSE
pp481,673,bin_19,19,trial3,brow,13.2783,FALSE
pp481,673,bin_20,20,trial3,brow,12.1318,FALSE
pp481,673,bin_0,0,trial4,brow,11.9237,FALSE
pp481,673,bin_1,1,trial4,brow,8.9217,FALSE
pp481,673,bin_2,2,trial4,brow,8.9779,FALSE
pp481,673,bin_3,3,trial4,brow,9.4013,FALSE
pp481,673,bin_4,4,trial4,brow,7.9555,FALSE
pp481,673,bin_5,5,trial4,brow,14.0558,FALSE
pp481,673,bin_6,6,trial4,brow,5.6227,FALSE
pp481,673,bin_7,7,trial4,brow,6.8366,FALSE
pp481,673,bin_8,8,trial4,brow,8.1856,FALSE
pp481,673,bin_9,9,trial4,brow,12.0795,FALSE
pp481,673,bin_10,10,trial4,brow,7.9441,FALSE
pp481,673,bin_11,11,trial4,brow,8.03,FALSE
pp481,673,bin_12,12,trial4,brow,7.7239,FALSE
pp481,673,bin_13,13,trial4,brow,5.0087,FALSE
pp481,673,bin_14,14,trial4,brow,6.951,FALSE
pp481,673,bin_15,15,trial4,brow,6.2041,FALSE
pp481,673,bin_16,16,trial4,brow,7.2222,FALSE
pp481,673,bin_17,17,trial4,brow,5.8965,FALSE
pp481,673,bin_18,18,trial4,brow,7.8845,FALSE
pp481,673,bin_19,19,trial4,brow,8.0232,FALSE
pp481,673,bin_20,20,trial4,brow,6.1697,FALSE
pp481,673,bin_0,0,trial5,brow,9.7752,FALSE
pp481,673,bin_1,1,trial5,brow,10.0695,FALSE
pp481,673,bin_2,2,trial5,brow,6.2138,FALSE
pp481,673,bin_3,3,trial5,brow,6.3057,FALSE
pp481,673,bin_4,4,trial5,brow,7.3352,FALSE
pp481,673,bin_5,5,trial5,brow,12.293,FALSE
pp481,673,bin_6,6,trial5,brow,8.6597,FALSE
pp481,673,bin_7,7,trial5,brow,11.6075,FALSE
pp481,673,bin_8,8,trial5,brow,9.2036,FALSE
pp481,673,bin_9,9,trial5,brow,11.0914,FALSE
pp481,673,bin_10,10,trial5,brow,9.0781,FALSE
pp481,673,bin_11,11,trial5,brow,8.4088,FALSE
pp481,673,bin_12,12,trial5,brow,11.0375,FALSE
pp481,673,bin_13,13,trial5,brow,6.7034,FALSE
pp481,673,bin_14,14,trial5,brow,8.5766,FALSE
pp481,673,bin_15,15,trial5,brow,8.6047,FALSE
pp481,673,bin_16,16,trial5,brow,7.2559,FALSE
pp481,673,bin_17,17,trial5,brow,6.9853,FALSE
pp481,673,bin_18,18,trial5,brow,7.2811,FALSE
pp481,673,bin_19,19,trial5,brow,18.4815,FALSE
pp481,673,bin_20,20,trial5,brow,19.0028,FALSE
pp481,673,bin_0,0,trial6,brow,9.74,FALSE
pp481,673,bin_1,1,trial6,brow,10.1148,FALSE
pp481,673,bin_2,2,trial6,brow,28.7245,FALSE
pp481,673,bin_3,3,trial6,brow,34.2949,FALSE
pp481,673,bin_4,4,trial6,brow,17.3101,FALSE
pp481,673,bin_5,5,trial6,brow,7.2425,FALSE
pp481,673,bin_6,6,trial6,brow,9.8194,FALSE
pp481,673,bin_7,7,trial6,brow,11.6917,FALSE
pp481,673,bin_8,8,trial6,brow,7.5036,FALSE
pp481,673,bin_9,9,trial6,brow,16.4942,FALSE
pp481,673,bin_10,10,trial6,brow,27.7675,FALSE
pp481,673,bin_11,11,trial6,brow,21.1528,FALSE
pp481,673,bin_12,12,trial6,brow,24.2931,FALSE
pp481,673,bin_13,13,trial6,brow,16.3879,FALSE
pp481,673,bin_14,14,trial6,brow,20.7703,FALSE
pp481,673,bin_15,15,trial6,brow,19.1503,FALSE
pp481,673,bin_16,16,trial6,brow,13.1399,FALSE
pp481,673,bin_17,17,trial6,brow,13.7279,FALSE
pp481,673,bin_18,18,trial6,brow,11.0619,FALSE
pp481,673,bin_19,19,trial6,brow,15.1547,FALSE
pp481,673,bin_20,20,trial6,brow,18.3735,FALSE
pp481,673,bin_0,0,trial7,brow,9.0554,FALSE
pp481,673,bin_1,1,trial7,brow,10.7666,FALSE
pp481,673,bin_2,2,trial7,brow,9.0972,FALSE
pp481,673,bin_3,3,trial7,brow,9.9525,FALSE
pp481,673,bin_4,4,trial7,brow,6.1665,FALSE
pp481,673,bin_5,5,trial7,brow,10.3298,FALSE
pp481,673,bin_6,6,trial7,brow,6.4732,FALSE
pp481,673,bin_7,7,trial7,brow,6.0939,FALSE
