pp_no,condition,bin,bin_no,trial,muscle,rms,meanRMS,sdRMS,outlier2SD,outlier1.5SD
pp482,429,bin_0,0,trial4,brow,6.7474,9.0662,4.614705945128032,FALSE,FALSE
pp482,429,bin_0,0,trial5,brow,13.4204,9.0662,4.614705945128032,FALSE,FALSE
pp482,429,bin_0,0,trial6,brow,9.8352,9.0662,4.614705945128032,FALSE,FALSE
pp482,429,bin_0,0,trial7,brow,11.5579,9.0662,4.614705945128032,FALSE,FALSE
pp482,429,bin_0,0,trial8,brow,14.6479,9.0662,4.614705945128032,FALSE,FALSE
pp482,429,bin_0,0,trial1,cheek,3.028,4.34365,3.7370687665220035,FALSE,FALSE
pp482,429,bin_0,0,trial2,cheek,8.676,4.34365,3.7370687665220035,FALSE,FALSE
pp482,429,bin_0,0,trial3,cheek,4.1751,4.34365,3.7370687665220035,FALSE,FALSE
pp482,429,bin_0,0,trial4,cheek,2.3876,4.34365,3.7370687665220035,FALSE,FALSE
pp482,429,bin_0,0,trial5,cheek,1.6791,4.34365,3.7370687665220035,FALSE,FALSE
pp482,429,bin_0,0,trial6,cheek,11.5282,4.34365,3.7370687665220035,FALSE,TRUE
pp482,429,bin_0,0,trial7,cheek,1.4926,4.34365,3.7370687665220035,FALSE,FALSE
pp482,429,bin_0,0,trial8,cheek,1.7826,4.34365,3.7370687665220035,FALSE,FALSE
pp482,673,bin_0,0,trial1,brow,18.6185,11.8312375,6.836467000878973,FALSE,FALSE
pp482,673,bin_0,0,trial2,brow,23.3618,11.8312375,6.836467000878973,FALSE,TRUE
pp482,673,bin_0,0,trial3,brow,8.4492,11.8312375,6.836467000878973,FALSE,FALSE
pp482,673,bin_0,0,trial4,brow,7.5884,11.8312375,6.836467000878973,FALSE,FALSE
pp482,673,bin_0,0,trial5,brow,3.3887,11.8312375,6.836467000878973,FALSE,FALSE
pp482,673,bin_0,0,trial6,brow,15.9926,11.8312375,6.836467000878973,FALSE,FALSE
pp482,673,bin_0,0,trial7,brow,10.8107,11.8312375,6.836467000878973,FALSE,FALSE
pp482,673,bin_0,0,trial8,brow,6.44,11.8312375,6.836467000878973,FALSE,FALSE
pp482,673,bin_0,0,trial1,cheek,2.6965,6.897937499999999,4.046418655671245,FALSE,FALSE
pp482,673,bin_0,0,trial2,cheek,2.4614,6.897937499999999,4.046418655671245,FALSE,FALSE
pp482,673,bin_0,0,trial3,cheek,2.811,6.897937499999999,4.046418655671245,FALSE,FALSE
pp482,673,bin_0,0,trial4,cheek,7.1472,6.897937499999999,4.046418655671245,FALSE,FALSE
pp482,673,bin_0,0,trial5,cheek,6.0413,6.897937499999999,4.046418655671245,FALSE,FALSE
