"","pp_no","condition","trial","muscle","bin","Zdiff"
"126","pp481","429","trial4","brow","diff_bin6",-0.180459949945853
"127","pp481","429","trial4","brow","diff_bin7",-0.237205365529968
"128","pp481","429","trial4","brow","diff_bin8",-0.212624698783865
"129","pp481","429","trial4","brow","diff_bin9",-0.0559470911533879
"130","pp481","429","trial4","brow","diff_bin10",0.12537556422567
"131","pp481","429","trial4","brow","diff_bin11",-0.239844986631567
"132","pp481","429","trial4","brow","diff_bin12",0.0686816534435377
"133","pp481","429","trial4","brow","diff_bin13",0.0607885425397341
"134","pp481","429","trial4","brow","diff_bin14",0.0892835742364998
"135","pp481","429","trial4","brow","diff_bin15",0.286122051212758
"136","pp481","429","trial4","brow","diff_bin16",0.276709548650473
"137","pp481","429","trial4","brow","diff_bin17",0.22001563786834
"138","pp481","429","trial4","brow","diff_bin18",0.22610608070276
"139","pp481","429","trial4","brow","diff_bin19",0.133938237555245
"140","pp481","429","trial4","brow","diff_bin20",0.0799225764761977
"141","pp481","429","trial4","cheek","diff_bin1",-0.21958885935195
"142","pp481","429","trial4","cheek","diff_bin2",-0.0882252050631425
"143","pp481","429","trial4","cheek","diff_bin3",-0.0591660281454699
"144","pp481","429","trial4","cheek","diff_bin4",0.00547731481433666
"145","pp481","429","trial4","cheek","diff_bin5",-0.178692800754973
"146","pp481","429","trial4","cheek","diff_bin6",-0.155037417647418
"147","pp481","429","trial4","cheek","diff_bin7",-0.0723814286538865
"148","pp481","429","trial4","cheek","diff_bin8",-0.138862796719175
"149","pp481","429","trial4","cheek","diff_bin9",-0.0834463397888889
"150","pp481","429","trial4","cheek","diff_bin10",-0.205325784533409
"151","pp481","429","trial4","cheek","diff_bin11",-0.103903559212905
"152","pp481","429","trial4","cheek","diff_bin12",-0.128772038890078
"153","pp481","429","trial4","cheek","diff_bin13",-0.198653753400509
"154","pp481","429","trial4","cheek","diff_bin14",-0.213045489976434
"155","pp481","429","trial4","cheek","diff_bin15",-0.169208591210685
"156","pp481","429","trial4","cheek","diff_bin16",-0.0915152700019554
"157","pp481","429","trial4","cheek","diff_bin17",-0.113332628004028
"158","pp481","429","trial4","cheek","diff_bin18",-0.215379781860396
"159","pp481","429","trial4","cheek","diff_bin19",0.00450316150843111
"160","pp481","429","trial4","cheek","diff_bin20",0.0285812903902471
"161","pp481","429","trial5","brow","diff_bin1",0.201782937966569
"162","pp481","429","trial5","brow","diff_bin2",-0.169862836937973
"163","pp481","429","trial5","brow","diff_bin3",-0.333776869246979
"164","pp481","429","trial5","brow","diff_bin4",-0.307277648627031
"165","pp481","429","trial5","brow","diff_bin5",-0.221058610108484
"166","pp481","429","trial5","brow","diff_bin6",0.0249283241594842
"167","pp481","429","trial5","brow","diff_bin7",-0.216268663524121
"168","pp481","429","trial5","brow","diff_bin8",-0.276284634034119
"169","pp481","429","trial5","brow","diff_bin9",2.50601764525592
"170","pp481","429","trial5","brow","diff_bin10",7.43031450559073
"171","pp481","429","trial5","brow","diff_bin11",6.99445511881463
"172","pp481","429","trial5","brow","diff_bin12",3.76840034184468
"173","pp481","429","trial5","brow","diff_bin13",4.62954775479
"174","pp481","429","trial5","brow","diff_bin14",1.00865716582293
"175","pp481","429","trial5","brow","diff_bin15",4.69168829838177
"176","pp481","429","trial5","brow","diff_bin16",4.12065455880284
"177","pp481","429","trial5","brow","diff_bin17",3.87553032996808
"178","pp481","429","trial5","brow","diff_bin18",3.53701501893872
"179","pp481","429","trial5","brow","diff_bin19",2.03781324283486
"180","pp481","429","trial5","brow","diff_bin20",1.64199883960008
"181","pp481","429","trial5","cheek","diff_bin1",-0.243005299195793
"182","pp481","429","trial5","cheek","diff_bin2",0.825861440395232
"183","pp481","429","trial5","cheek","diff_bin3",0.865764965435248
"184","pp481","429","trial5","cheek","diff_bin4",0.64400723645883
"185","pp481","429","trial5","cheek","diff_bin5",0.147133909693845
"186","pp481","429","trial5","cheek","diff_bin6",-0.576312771823923
"187","pp481","429","trial5","cheek","diff_bin7",-0.505769368275518
"188","pp481","429","trial5","cheek","diff_bin8",-0.46647239152031
"189","pp481","429","trial5","cheek","diff_bin9",-0.114012697293057
"190","pp481","429","trial5","cheek","diff_bin10",0.0437266172594199
"191","pp481","429","trial5","cheek","diff_bin11",0.519885401085621
"192","pp481","429","trial5","cheek","diff_bin12",0.189684190885756
"193","pp481","429","trial5","cheek","diff_bin13",0.297374081815954
"194","pp481","429","trial5","cheek","diff_bin14",0.0795313463142116
"195","pp481","429","trial5","cheek","diff_bin15",-0.323749742079623
"196","pp481","429","trial5","cheek","diff_bin16",-0.315000742577528
"197","pp481","429","trial5","cheek","diff_bin17",-0.273828980214728
"198","pp481","429","trial5","cheek","diff_bin18",-0.139928851280355
"199","pp481","429","trial5","cheek","diff_bin19",-0.268939833434146
"200","pp481","429","trial5","cheek","diff_bin20",-0.625461563144515
"201","pp481","429","trial6","brow","diff_bin1",-0.10544320585848
"202","pp481","429","trial6","brow","diff_bin2",-0.300157109752964
"203","pp481","429","trial6","brow","diff_bin3",-0.0710379981342328
"204","pp481","429","trial6","brow","diff_bin4",-0.239857862832062
"205","pp481","429","trial6","brow","diff_bin5",-0.278628102524318
"206","pp481","429","trial6","brow","diff_bin6",-0.210706144910021
"207","pp481","429","trial6","brow","diff_bin7",-0.0475904370317427
"208","pp481","429","trial6","brow","diff_bin8",-0.220672324093616
"209","pp481","429","trial6","brow","diff_bin9",-0.279593817561488
"210","pp481","429","trial6","brow","diff_bin10",-0.552389001261299
"211","pp481","429","trial6","brow","diff_bin11",-0.294285562326969
"212","pp481","429","trial6","brow","diff_bin12",-0.243720722980743
"213","pp481","429","trial6","brow","diff_bin13",-0.177936214648715
"214","pp481","429","trial6","brow","diff_bin14",0.157759208472108
"215","pp481","429","trial6","brow","diff_bin15",-0.108636503581389
"216","pp481","429","trial6","brow","diff_bin16",-0.34194038036119
"217","pp481","429","trial6","brow","diff_bin17",-0.265082339602945
"218","pp481","429","trial6","brow","diff_bin18",-0.281885781249705
"219","pp481","429","trial6","brow","diff_bin19",-0.123984934572146
