"","pp_no","condition","trial","muscle","bin","Zdiff"
"157","pp481","429","trial8","cheek","diff_bin7",-0.43319004128889
"158","pp481","429","trial8","cheek","diff_bin8",-0.550590289001448
"159","pp481","429","trial8","cheek","diff_bin9",-0.448057641915683
"160","pp481","429","trial8","cheek","diff_bin10",0.00559980352555206
"161","pp481","673","trial1","brow","diff_bin1",0.300939875041397
"162","pp481","673","trial1","brow","diff_bin2",-0.0841155650728789
"163","pp481","673","trial1","brow","diff_bin3",0.246081897819954
"164","pp481","673","trial1","brow","diff_bin4",-0.199473117173216
"165","pp481","673","trial1","brow","diff_bin5",-0.438355417982644
"166","pp481","673","trial1","brow","diff_bin6",-0.106583555743545
"167","pp481","673","trial1","brow","diff_bin7",-0.263793890465443
"168","pp481","673","trial1","brow","diff_bin8",0.0981047592641766
"169","pp481","673","trial1","brow","diff_bin9",-0.182269524316626
"170","pp481","673","trial1","brow","diff_bin10",0.199276317254933
"171","pp481","673","trial1","cheek","diff_bin1",-0.0314958381699176
"172","pp481","673","trial1","cheek","diff_bin2",-0.0924334381073669
"173","pp481","673","trial1","cheek","diff_bin3",-0.109379568427051
"174","pp481","673","trial1","cheek","diff_bin4",-0.191420358069965
"175","pp481","673","trial1","cheek","diff_bin5",-0.030077547320651
"176","pp481","673","trial1","cheek","diff_bin6",-0.128917747540222
"177","pp481","673","trial1","cheek","diff_bin7",-0.167749572861518
"178","pp481","673","trial1","cheek","diff_bin8",-0.0579053919148796
"179","pp481","673","trial1","cheek","diff_bin9",-0.0706944628487824
"180","pp481","673","trial1","cheek","diff_bin10",-0.170243808492986
"181","pp481","673","trial2","brow","diff_bin1",0.171871928633997
"182","pp481","673","trial2","brow","diff_bin2",0.127083547231378
"183","pp481","673","trial2","brow","diff_bin3",0.0507251789374956
"184","pp481","673","trial2","brow","diff_bin4",-0.235717102123706
"185","pp481","673","trial2","brow","diff_bin5",-0.35638825201769
"186","pp481","673","trial2","brow","diff_bin6",-0.331460262368484
"187","pp481","673","trial2","brow","diff_bin7",-0.655097727985211
"188","pp481","673","trial2","brow","diff_bin8",-0.41418182802019
"189","pp481","673","trial2","brow","diff_bin9",-0.223171107333152
"190","pp481","673","trial2","brow","diff_bin10",-0.408294230464884
"191","pp481","673","trial2","cheek","diff_bin1",-0.224579019994195
"192","pp481","673","trial2","cheek","diff_bin2",-0.279060951238431
"193","pp481","673","trial2","cheek","diff_bin3",-0.208464301551667
"194","pp481","673","trial2","cheek","diff_bin4",-0.162467662112525
"195","pp481","673","trial2","cheek","diff_bin5",-0.0482218888750603
"196","pp481","673","trial2","cheek","diff_bin6",-0.194623739126067
"197","pp481","673","trial2","cheek","diff_bin7",-0.0808670316986938
"198","pp481","673","trial2","cheek","diff_bin8",-0.134346378032242
"199","pp481","673","trial2","cheek","diff_bin9",0.810479860484277
"200","pp481","673","trial2","cheek","diff_bin10",0.388489426246491
"201","pp481","673","trial3","brow","diff_bin1",-0.168099930200236
"202","pp481","673","trial3","brow","diff_bin2",-0.436797418629568
"203","pp481","673","trial3","brow","diff_bin3",-0.514992586160761
"204","pp481","673","trial3","brow","diff_bin4",-0.810946863272317
"205","pp481","673","trial3","brow","diff_bin5",-0.506120189844826
"206","pp481","673","trial3","brow","diff_bin6",-0.319619467285111
"207","pp481","673","trial3","brow","diff_bin7",-0.647816131008732
"208","pp481","673","trial3","brow","diff_bin8",-0.471598204179314
