pp_no,condition,trial,muscle,bin,Zdiff
pp481,913,trial1,cheek,diff_bin1,-0.299712326789018
pp481,913,trial1,cheek,diff_bin2,-0.135642884126117
pp481,913,trial1,cheek,diff_bin3,-0.261531929074727
pp481,913,trial1,cheek,diff_bin4,-0.634265215309366
pp481,913,trial1,cheek,diff_bin5,0.131430136465793
pp481,913,trial1,cheek,diff_bin6,-0.452471870327804
pp481,913,trial1,cheek,diff_bin7,-0.359146226213052
pp481,913,trial1,cheek,diff_bin8,0.272993638925339
pp481,913,trial1,cheek,diff_bin9,-0.00315007257483682
pp481,913,trial1,cheek,diff_bin10,-0.0576501233876809
pp481,913,trial2,brow,diff_bin1,-1.55667232884261
pp481,913,trial2,brow,diff_bin2,-1.93454411729305
pp481,913,trial2,brow,diff_bin3,-1.83113161012472
pp481,913,trial2,brow,diff_bin4,-1.92041777110879
pp481,913,trial2,brow,diff_bin5,-1.64825441968056
pp481,913,trial2,brow,diff_bin6,-2.05514421045082
pp481,913,trial2,brow,diff_bin7,-1.69181331107493
pp481,913,trial2,brow,diff_bin8,NA
pp481,913,trial2,brow,diff_bin9,-0.708517575323229
pp481,913,trial2,brow,diff_bin10,-1.5349566589747
pp481,913,trial2,cheek,diff_bin1,-0.180806575259324
pp481,913,trial2,cheek,diff_bin2,-0.06106586473389
pp481,913,trial2,cheek,diff_bin3,-0.174013045248531
pp481,913,trial2,cheek,diff_bin4,-0.0468715618063108
pp481,913,trial2,cheek,diff_bin5,-0.18653743018463
pp481,913,trial2,cheek,diff_bin6,-0.0842929058881103
pp481,913,trial2,cheek,diff_bin7,0.212307301007695
pp481,913,trial2,cheek,diff_bin8,0.224945543988668
pp481,913,trial2,cheek,diff_bin9,NA
pp481,913,trial2,cheek,diff_bin10,0.234357809031554
pp481,913,trial3,brow,diff_bin1,0.0544645582002823
pp481,913,trial3,brow,diff_bin2,-0.355040041570225
pp481,913,trial3,brow,diff_bin3,0.11371230359614
pp481,913,trial3,brow,diff_bin4,0.818881647882465
pp481,913,trial3,brow,diff_bin5,0.196302002506404
pp481,913,trial3,brow,diff_bin6,0.937887345308375
pp481,913,trial3,brow,diff_bin7,0.676087566137229
pp481,913,trial3,brow,diff_bin8,0.012340622964584
pp481,913,trial3,brow,diff_bin9,0.276340668245695
pp481,913,trial3,brow,diff_bin10,1.20408765669945
pp481,913,trial3,cheek,diff_bin1,-0.265592866008553
pp481,913,trial3,cheek,diff_bin2,-0.209157228432858
pp481,913,trial3,cheek,diff_bin3,-0.0788277197341762
pp481,913,trial3,cheek,diff_bin4,0.195076783550152
pp481,913,trial3,cheek,diff_bin5,0.297586976618043
pp481,913,trial3,cheek,diff_bin6,0.687323064220477
pp481,913,trial3,cheek,diff_bin7,0.45243391764618
pp481,913,trial3,cheek,diff_bin8,0.240657954181228
pp481,913,trial3,cheek,diff_bin9,-0.0532855650008587
pp481,913,trial3,cheek,diff_bin10,0.0121448581198539
pp481,913,trial4,brow,diff_bin1,0.0114796492693808
pp481,913,trial4,brow,diff_bin2,0.0710781617262471
pp481,913,trial4,brow,diff_bin3,0.358962255070596
pp481,913,trial4,brow,diff_bin4,-0.406857902855622
pp481,913,trial4,brow,diff_bin5,-0.940597818052534
pp481,913,trial4,brow,diff_bin6,-0.0901790225939101
pp481,913,trial4,brow,diff_bin7,-0.748281804875776
pp481,913,trial4,brow,diff_bin8,-0.493274151522346
pp481,913,trial4,brow,diff_bin9,-0.76017599703544
