pp_no,condition,bin,bin_no,trial,muscle,rms,outlier1.5SD
pp481,673,bin_8,8,trial1,cheek,3.4071,FALSE
pp481,673,bin_9,9,trial1,cheek,3.3548,FALSE
pp481,673,bin_10,10,trial1,cheek,2.9477,FALSE
pp481,673,bin_0,0,trial2,cheek,4.6032,FALSE
pp481,673,bin_1,1,trial2,cheek,3.6848,FALSE
pp481,673,bin_2,2,trial2,cheek,3.462,FALSE
pp481,673,bin_3,3,trial2,cheek,3.7507,FALSE
pp481,673,bin_4,4,trial2,cheek,3.9388,FALSE
pp481,673,bin_5,5,trial2,cheek,4.406,FALSE
pp481,673,bin_6,6,trial2,cheek,3.8073,FALSE
pp481,673,bin_7,7,trial2,cheek,4.2725,FALSE
pp481,673,bin_8,8,trial2,cheek,4.0538,FALSE
pp481,673,bin_9,9,trial2,cheek,7.9176,FALSE
pp481,673,bin_10,10,trial2,cheek,6.1919,FALSE
pp481,673,bin_0,0,trial4,cheek,6.9877,FALSE
pp481,673,bin_1,1,trial4,cheek,5.4428,FALSE
pp481,673,bin_2,2,trial4,cheek,4.9591,FALSE
pp481,673,bin_3,3,trial4,cheek,4.6379,FALSE
pp481,673,bin_4,4,trial4,cheek,5.8407,FALSE
pp481,673,bin_5,5,trial4,cheek,15.1763,FALSE
pp481,673,bin_6,6,trial4,cheek,20.1017,FALSE
pp481,673,bin_7,7,trial4,cheek,24.3882,FALSE
pp481,673,bin_8,8,trial4,cheek,22.2883,FALSE
pp481,673,bin_9,9,trial4,cheek,15.8483,FALSE
pp481,673,bin_10,10,trial4,cheek,16.0948,FALSE
pp481,673,bin_0,0,trial5,cheek,4.9373,FALSE
pp481,673,bin_1,1,trial5,cheek,3.3434,FALSE
pp481,673,bin_2,2,trial5,cheek,5.2286,FALSE
pp481,673,bin_3,3,trial5,cheek,3.0001,FALSE
pp481,673,bin_4,4,trial5,cheek,4.6977,FALSE
pp481,673,bin_5,5,trial5,cheek,3.3144,FALSE
pp481,673,bin_6,6,trial5,cheek,2.5707,FALSE
pp481,673,bin_7,7,trial5,cheek,2.1001,FALSE
pp481,673,bin_8,8,trial5,cheek,2.8574,FALSE
pp481,673,bin_9,9,trial5,cheek,2.2862,FALSE
pp481,673,bin_10,10,trial5,cheek,2.8577,FALSE
pp481,673,bin_0,0,trial6,cheek,5.9114,FALSE
pp481,673,bin_1,1,trial6,cheek,5.7316,FALSE
pp481,673,bin_2,2,trial6,cheek,6.1365,FALSE
pp481,673,bin_3,3,trial6,cheek,5.1022,FALSE
pp481,673,bin_4,4,trial6,cheek,4.394,FALSE
pp481,673,bin_5,5,trial6,cheek,5.9308,FALSE
pp481,673,bin_6,6,trial6,cheek,5.3301,FALSE
pp481,673,bin_7,7,trial6,cheek,4.9182,FALSE
pp481,673,bin_8,8,trial6,cheek,4.2466,FALSE
pp481,673,bin_9,9,trial6,cheek,8.4957,FALSE
pp481,673,bin_10,10,trial6,cheek,8.2727,FALSE
pp481,673,bin_0,0,trial7,cheek,4.2288,FALSE
pp481,673,bin_1,1,trial7,cheek,5.397,FALSE
pp481,673,bin_2,2,trial7,cheek,3.5461,FALSE
pp481,673,bin_3,3,trial7,cheek,5.02,FALSE
pp481,673,bin_4,4,trial7,cheek,7.6236,FALSE
pp481,673,bin_5,5,trial7,cheek,8.2141,FALSE
pp481,673,bin_6,6,trial7,cheek,9.7607,FALSE
pp481,673,bin_7,7,trial7,cheek,24.1802,FALSE
pp481,673,bin_8,8,trial7,cheek,15.5902,FALSE
pp481,673,bin_9,9,trial7,cheek,13.8011,FALSE
pp481,673,bin_10,10,trial7,cheek,16.5717,FALSE
pp481,673,bin_0,0,trial8,cheek,5.1263,FALSE
pp481,673,bin_1,1,trial8,cheek,5.5211,FALSE
pp481,673,bin_2,2,trial8,cheek,5.2766,FALSE
pp481,673,bin_3,3,trial8,cheek,6.1261,FALSE
pp481,673,bin_4,4,trial8,cheek,5.8049,FALSE
pp481,673,bin_5,5,trial8,cheek,5.7079,FALSE
pp481,673,bin_6,6,trial8,cheek,7.5702,FALSE
pp481,673,bin_7,7,trial8,cheek,10.5774,FALSE
pp481,673,bin_8,8,trial8,cheek,7.6437,FALSE
pp481,673,bin_9,9,trial8,cheek,15.2708,FALSE
pp481,673,bin_10,10,trial8,cheek,15.5884,FALSE
pp4811,429,bin_0,0,trial1,brow,17.4942,FALSE
pp4811,429,bin_1,1,trial1,brow,17.4803,FALSE
pp4811,429,bin_2,2,trial1,brow,12.6257,FALSE
pp4811,429,bin_3,3,trial1,brow,13.3007,FALSE
pp4811,429,bin_4,4,trial1,brow,14.0775,FALSE
pp4811,429,bin_5,5,trial1,brow,15.5999,FALSE
pp4811,429,bin_6,6,trial1,brow,15.6062,FALSE
pp4811,429,bin_7,7,trial1,brow,18.6755,FALSE
pp4811,429,bin_8,8,trial1,brow,21.3378,FALSE
pp4811,429,bin_9,9,trial1,brow,17.8198,FALSE
pp4811,429,bin_10,10,trial1,brow,15.0865,FALSE
pp4811,429,bin_0,0,trial2,brow,17.622,FALSE
pp4811,429,bin_1,1,trial2,brow,25.9678,FALSE
pp4811,429,bin_2,2,trial2,brow,17.4239,FALSE
pp4811,429,bin_3,3,trial2,brow,19.1947,FALSE
pp4811,429,bin_4,4,trial2,brow,14.6384,FALSE
pp4811,429,bin_5,5,trial2,brow,18.1628,FALSE
pp4811,429,bin_6,6,trial2,brow,12.7846,FALSE
pp4811,429,bin_7,7,trial2,brow,13.0568,FALSE
pp4811,429,bin_8,8,trial2,brow,16.8318,FALSE
pp4811,429,bin_9,9,trial2,brow,14.8396,FALSE
pp4811,429,bin_10,10,trial2,brow,16.4163,FALSE
pp4811,429,bin_0,0,trial3,brow,15.8502,FALSE
pp4811,429,bin_1,1,trial3,brow,17.7402,FALSE
pp4811,429,bin_2,2,trial3,brow,15.1683,FALSE
pp4811,429,bin_3,3,trial3,brow,11.6807,FALSE
pp4811,429,bin_4,4,trial3,brow,16.8852,FALSE
pp4811,429,bin_5,5,trial3,brow,15.9433,FALSE
pp4811,429,bin_6,6,trial3,brow,12.4595,FALSE
pp4811,429,bin_7,7,trial3,brow,19.8313,FALSE
pp4811,429,bin_8,8,trial3,brow,12.6298,FALSE
pp4811,429,bin_9,9,trial3,brow,13.0994,FALSE
pp4811,429,bin_10,10,trial3,brow,13.0585,FALSE
pp4811,429,bin_0,0,trial4,brow,17.0973,FALSE
pp4811,429,bin_1,1,trial4,brow,15.6852,FALSE
pp4811,429,bin_2,2,trial4,brow,18.7199,FALSE
pp4811,429,bin_3,3,trial4,brow,20.35,FALSE
pp4811,429,bin_4,4,trial4,brow,15.759,FALSE
pp4811,429,bin_5,5,trial4,brow,17.3274,FALSE
pp4811,429,bin_6,6,trial4,brow,18.4327,FALSE
pp4811,429,bin_7,7,trial4,brow,16.8677,FALSE
pp4811,429,bin_8,8,trial4,brow,16.1886,FALSE
pp4811,429,bin_9,9,trial4,brow,17.7522,FALSE
pp4811,429,bin_10,10,trial4,brow,20.8132,FALSE
pp4811,429,bin_0,0,trial5,brow,16.2605,FALSE
pp4811,429,bin_1,1,trial5,brow,14.9777,FALSE
pp4811,429,bin_2,2,trial5,brow,16.5233,FALSE
pp4811,429,bin_3,3,trial5,brow,16.9854,FALSE
pp4811,429,bin_4,4,trial5,brow,13.3294,FALSE
pp4811,429,bin_5,5,trial5,brow,14.7918,FALSE
pp4811,429,bin_6,6,trial5,brow,10.7386,FALSE
pp4811,429,bin_7,7,trial5,brow,13.8729,FALSE
pp4811,429,bin_8,8,trial5,brow,13.2985,FALSE
pp4811,429,bin_9,9,trial5,brow,14.6067,FALSE
pp4811,429,bin_10,10,trial5,brow,14.1775,FALSE
pp4811,429,bin_0,0,trial6,brow,18.523,FALSE
pp4811,429,bin_1,1,trial6,brow,20.4822,FALSE
pp4811,429,bin_2,2,trial6,brow,27.1515,FALSE
pp4811,429,bin_3,3,trial6,brow,20.5676,FALSE
pp4811,429,bin_4,4,trial6,brow,18.4908,FALSE
pp4811,429,bin_5,5,trial6,brow,19.1273,FALSE
pp4811,429,bin_6,6,trial6,brow,18.6884,FALSE
pp4811,429,bin_7,7,trial6,brow,20.2949,FALSE
pp4811,429,bin_8,8,trial6,brow,18.2287,FALSE
pp4811,429,bin_9,9,trial6,brow,18.0233,FALSE
pp4811,429,bin_10,10,trial6,brow,19.7983,FALSE
pp4811,429,bin_0,0,trial7,brow,18.9876,FALSE
pp4811,429,bin_1,1,trial7,brow,19.504,FALSE
pp4811,429,bin_2,2,trial7,brow,20.0871,FALSE
pp4811,429,bin_3,3,trial7,brow,15.2807,FALSE
pp4811,429,bin_4,4,trial7,brow,16.5446,FALSE
pp4811,429,bin_5,5,trial7,brow,20.2512,FALSE
pp4811,429,bin_6,6,trial7,brow,17.2486,FALSE
pp4811,429,bin_7,7,trial7,brow,14.4225,FALSE
pp4811,429,bin_8,8,trial7,brow,12.9145,FALSE
pp4811,429,bin_9,9,trial7,brow,21.0454,FALSE
