pp_no,condition,trial,muscle,bin,Zdiff
pp481,673,trial8,brow,diff_bin4,-0.685126115516589
pp481,673,trial8,brow,diff_bin5,-0.339873458875091
pp481,673,trial8,brow,diff_bin6,-0.400701033617791
pp481,673,trial8,brow,diff_bin7,-0.069798371017776
pp481,673,trial8,brow,diff_bin8,-0.724879699009796
pp481,673,trial8,brow,diff_bin9,-0.411492229136986
pp481,673,trial8,brow,diff_bin10,-0.788298472676558
pp481,673,trial8,cheek,diff_bin1,0.0965415909121387
pp481,673,trial8,cheek,diff_bin2,0.0367532956284055
pp481,673,trial8,cheek,diff_bin3,0.244483998464935
pp481,673,trial8,cheek,diff_bin4,0.165940029364178
pp481,673,trial8,cheek,diff_bin5,0.142220337574721
pp481,673,trial8,cheek,diff_bin6,0.597613966641783
pp481,673,trial8,cheek,diff_bin7,1.33297331869595
pp481,673,trial8,cheek,diff_bin8,0.61558713516266
pp481,673,trial8,cheek,diff_bin9,2.48066405523858
pp481,673,trial8,cheek,diff_bin10,2.55832770588117
pp4811,429,trial1,brow,diff_bin1,-0.00338743366863448
pp4811,429,trial1,brow,diff_bin2,-1.18645473494587
pp4811,429,trial1,brow,diff_bin3,-1.02195705679275
pp4811,429,trial1,brow,diff_bin4,-0.832650691771502
pp4811,429,trial1,brow,diff_bin5,-0.461641409963636
pp4811,429,trial1,brow,diff_bin6,-0.460106098300874
pp4811,429,trial1,brow,diff_bin7,0.287883121781156
pp4811,429,trial1,brow,diff_bin8,0.936686334443453
pp4811,429,trial1,brow,diff_bin9,0.0793488059357866
pp4811,429,trial1,brow,diff_bin10,-0.586757125465579
pp4811,429,trial1,cheek,diff_bin1,0.632249198703402
pp4811,429,trial1,cheek,diff_bin2,-0.120155956314674
pp4811,429,trial1,cheek,diff_bin3,-0.936820340717155
pp4811,429,trial1,cheek,diff_bin4,-0.316454698132786
pp4811,429,trial1,cheek,diff_bin5,-0.702890337855436
pp4811,429,trial1,cheek,diff_bin6,-0.718074881785313
pp4811,429,trial1,cheek,diff_bin7,0.346823785992538
pp4811,429,trial1,cheek,diff_bin8,NA
pp4811,429,trial1,cheek,diff_bin9,0.423626769058144
pp4811,429,trial1,cheek,diff_bin10,0.867059464981345
pp4811,429,trial2,brow,diff_bin1,NA
pp4811,429,trial2,brow,diff_bin2,-0.0482770222846415
pp4811,429,trial2,brow,diff_bin3,0.383267405083572
pp4811,429,trial2,brow,diff_bin4,-0.727104107463182
pp4811,429,trial2,brow,diff_bin5,0.13179310273364
pp4811,429,trial2,brow,diff_bin6,-1.17887565673763
pp4811,429,trial2,brow,diff_bin7,-1.11254044489574
pp4811,429,trial2,brow,diff_bin8,-0.192571948557918
pp4811,429,trial2,brow,diff_bin9,-0.678071614360355
pp4811,429,trial2,brow,diff_bin10,-0.293829408221061
pp4811,429,trial2,cheek,diff_bin1,-0.760547591618154
pp4811,429,trial2,cheek,diff_bin2,-1.37013000735377
pp4811,429,trial2,cheek,diff_bin3,0.0101230292865841
pp4811,429,trial2,cheek,diff_bin4,-0.910412438230413
pp4811,429,trial2,cheek,diff_bin5,-0.807201552678065
pp4811,429,trial2,cheek,diff_bin6,1.32523657312631
pp4811,429,trial2,cheek,diff_bin7,-0.545323186351211
pp4811,429,trial2,cheek,diff_bin8,1.0631381409454
pp4811,429,trial2,cheek,diff_bin9,-0.259897773640347
pp4811,429,trial2,cheek,diff_bin10,-0.222486578450796
pp4811,429,trial3,brow,diff_bin1,0.460593498828735
pp4811,429,trial3,brow,diff_bin2,-0.16617920997424
pp4811,429,trial3,brow,diff_bin3,-1.01610825045842
pp4811,429,trial3,brow,diff_bin4,0.252229773168117
pp4811,429,trial3,brow,diff_bin5,0.0226884945719343
pp4811,429,trial3,brow,diff_bin6,-0.826314484909307
pp4811,429,trial3,brow,diff_bin7,0.970195120733903
pp4811,429,trial3,brow,diff_bin8,-0.784812329961935
pp4811,429,trial3,brow,diff_bin9,-0.67037068602015
pp4811,429,trial3,brow,diff_bin10,-0.680338026814909
pp4811,429,trial3,cheek,diff_bin1,0.450034671544886
pp4811,429,trial3,cheek,diff_bin2,-0.442552432506976
pp4811,429,trial3,cheek,diff_bin3,NA
pp4811,429,trial3,cheek,diff_bin4,0.155806624671774
pp4811,429,trial3,cheek,diff_bin5,1.33667999753723
pp4811,429,trial3,cheek,diff_bin6,0.142602673428404
pp4811,429,trial3,cheek,diff_bin7,-0.112453651422707
pp4811,429,trial3,cheek,diff_bin8,1.66369785666471
pp4811,429,trial3,cheek,diff_bin9,-0.373451754333336
pp4811,429,trial3,cheek,diff_bin10,0.909752240668244
pp4811,429,trial4,brow,diff_bin1,-0.344129142696326
pp4811,429,trial4,brow,diff_bin2,0.395428048253706
pp4811,429,trial4,brow,diff_bin3,0.792683848486892
pp4811,429,trial4,brow,diff_bin4,-0.326144063218252
pp4811,429,trial4,brow,diff_bin5,0.056075430730419
pp4811,429,trial4,brow,diff_bin6,0.325437332452853
pp4811,429,trial4,brow,diff_bin7,-0.0559535805984541
pp4811,429,trial4,brow,diff_bin8,-0.221450429833689
pp4811,429,trial4,brow,diff_bin9,0.159599302848115
pp4811,429,trial4,brow,diff_bin10,0.905565810739521
pp4811,429,trial4,cheek,diff_bin1,-1.29376715599628
pp4811,429,trial4,cheek,diff_bin2,1.4975481368523
pp4811,429,trial4,cheek,diff_bin3,-0.635770252368301
pp4811,429,trial4,cheek,diff_bin4,-0.918995006538603
pp4811,429,trial4,cheek,diff_bin5,0.00704210732979793
pp4811,429,trial4,cheek,diff_bin6,0.229968817488708
pp4811,429,trial4,cheek,diff_bin7,-0.936820340717154
pp4811,429,trial4,cheek,diff_bin8,-1.31049216090455
pp4811,429,trial4,cheek,diff_bin9,0.396998800717347
pp4811,429,trial4,cheek,diff_bin10,0.278603371235123
pp4811,429,trial5,brow,diff_bin1,-0.312618698570106
pp4811,429,trial5,brow,diff_bin2,0.0640444293609476
pp4811,429,trial5,brow,diff_bin3,0.176658321323254
