"","pp_no","condition","trial","muscle","bin","Zdiff"
"202","pp481","913","trial3","brow","diff_bin2",-0.355040041570225
"203","pp481","913","trial3","brow","diff_bin3",0.11371230359614
"204","pp481","913","trial3","brow","diff_bin4",0.818881647882465
"205","pp481","913","trial3","brow","diff_bin5",0.196302002506404
"206","pp481","913","trial3","brow","diff_bin6",0.937887345308375
"207","pp481","913","trial3","brow","diff_bin7",0.676087566137229
"208","pp481","913","trial3","brow","diff_bin8",0.012340622964584
"209","pp481","913","trial3","brow","diff_bin9",0.276340668245695
"210","pp481","913","trial3","brow","diff_bin10",1.20408765669945
"211","pp481","913","trial3","cheek","diff_bin1",-0.265592866008553
"212","pp481","913","trial3","cheek","diff_bin2",-0.209157228432858
"213","pp481","913","trial3","cheek","diff_bin3",-0.0788277197341762
"214","pp481","913","trial3","cheek","diff_bin4",0.195076783550152
"215","pp481","913","trial3","cheek","diff_bin5",0.297586976618043
"216","pp481","913","trial3","cheek","diff_bin6",0.687323064220477
"217","pp481","913","trial3","cheek","diff_bin7",0.45243391764618
"218","pp481","913","trial3","cheek","diff_bin8",0.240657954181228
"219","pp481","913","trial3","cheek","diff_bin9",-0.0532855650008587
"220","pp481","913","trial3","cheek","diff_bin10",0.0121448581198539
"221","pp481","913","trial4","brow","diff_bin1",0.0114796492693808
"222","pp481","913","trial4","brow","diff_bin2",0.0710781617262471
"223","pp481","913","trial4","brow","diff_bin3",0.358962255070596
"224","pp481","913","trial4","brow","diff_bin4",-0.406857902855622
"225","pp481","913","trial4","brow","diff_bin5",-0.940597818052534
"226","pp481","913","trial4","brow","diff_bin6",-0.0901790225939101
"227","pp481","913","trial4","brow","diff_bin7",-0.748281804875776
"228","pp481","913","trial4","brow","diff_bin8",-0.493274151522346
"229","pp481","913","trial4","brow","diff_bin9",-0.76017599703544
"230","pp481","913","trial4","brow","diff_bin10",-0.300160940479659
"231","pp481","913","trial4","cheek","diff_bin1",-0.231245689138342
"232","pp481","913","trial4","cheek","diff_bin2",-0.332503443712623
"233","pp481","913","trial4","cheek","diff_bin3",-0.187486247225244
"234","pp481","913","trial4","cheek","diff_bin4",-0.135111546583374
