pp_no,condition,emotion,trial,muscle,bin,Zdiff
pp401,dyn,828,trial1,cheek,diff_bin1,-0.46110175521616775
pp401,dyn,828,trial1,cheek,diff_bin2,-0.3020806095399299
pp401,dyn,828,trial1,cheek,diff_bin3,-0.5962975021951548
pp401,dyn,828,trial1,cheek,diff_bin4,-0.8292349139379671
pp401,dyn,828,trial1,cheek,diff_bin5,-0.8775205262852679
pp401,dyn,828,trial1,cheek,diff_bin6,-0.5193658651027832
pp401,dyn,828,trial2,brow,diff_bin1,0.43566442346805834
pp401,dyn,828,trial2,brow,diff_bin2,0.41546484449144666
pp401,dyn,828,trial2,brow,diff_bin3,0.5014676735253161
pp401,dyn,828,trial2,brow,diff_bin4,0.6217199331174502
pp401,dyn,828,trial2,brow,diff_bin5,0.4754100999523677
pp401,dyn,828,trial2,brow,diff_bin6,0.44600343385123453
pp401,dyn,828,trial2,cheek,diff_bin1,0.5015551672986303
pp401,dyn,828,trial2,cheek,diff_bin2,0.5373031843281437
pp401,dyn,828,trial2,cheek,diff_bin3,0.4683662480475892
pp401,dyn,828,trial2,cheek,diff_bin4,0.5526776089662532
pp401,dyn,828,trial2,cheek,diff_bin5,0.513616651401818
pp401,dyn,828,trial2,cheek,diff_bin6,0.4937786841268381
pp401,dyn,828,trial3,brow,diff_bin1,-1.1883412817863965
pp401,dyn,828,trial3,brow,diff_bin2,-1.3858910637015092
pp401,dyn,828,trial3,brow,diff_bin3,-1.681579759073181
pp401,dyn,828,trial3,brow,diff_bin4,-1.6990487190546875
pp401,dyn,828,trial3,brow,diff_bin5,-1.2953838802569102
pp401,dyn,828,trial3,brow,diff_bin6,-1.2818358090888882
pp401,dyn,828,trial3,cheek,diff_bin1,-0.7776887910234129
pp401,dyn,828,trial3,cheek,diff_bin2,-0.9310957919608314
pp401,dyn,828,trial3,cheek,diff_bin3,-1.146992389814436
pp401,dyn,828,trial3,cheek,diff_bin4,-1.0837886260763505
pp401,dyn,828,trial3,cheek,diff_bin5,-1.1678420934204399
pp401,dyn,828,trial3,cheek,diff_bin6,-1.1552053082662779
pp401,dyn,828,trial4,brow,diff_bin1,-1.204425158744507
pp401,dyn,828,trial4,brow,diff_bin2,-1.2719788055934989
pp401,dyn,828,trial4,brow,diff_bin3,-1.5727786595970346
pp401,dyn,828,trial4,brow,diff_bin4,-1.2508456816612958
pp401,dyn,828,trial4,brow,diff_bin5,-1.1529985010033585
pp401,dyn,828,trial4,brow,diff_bin6,-1.2088594972835667
pp401,dyn,828,trial4,cheek,diff_bin1,-0.1545452250905709
pp401,dyn,828,trial4,cheek,diff_bin2,-0.0734277769031787
pp401,dyn,828,trial4,cheek,diff_bin3,-0.01546123652568776
pp401,dyn,828,trial4,cheek,diff_bin4,-0.19531224784065432
pp401,dyn,828,trial4,cheek,diff_bin5,-0.167122496342908
pp401,dyn,828,trial4,cheek,diff_bin6,-0.07596703671437599
pp401,dyn,828,trial5,brow,diff_bin1,-0.957269047043845
pp401,dyn,828,trial5,brow,diff_bin2,-1.0108545274947986
pp401,dyn,828,trial5,brow,diff_bin3,-1.0458507940175361
pp401,dyn,828,trial5,brow,diff_bin4,-0.9486921027643477
pp401,dyn,828,trial5,brow,diff_bin5,-0.9763833800095816
pp401,dyn,828,trial5,brow,diff_bin6,-0.973454382711413
pp401,dyn,828,trial5,cheek,diff_bin1,0.34024256403244935
pp401,dyn,828,trial5,cheek,diff_bin2,0.257240508953934
pp401,dyn,828,trial5,cheek,diff_bin3,0.26089069493253036
pp401,dyn,828,trial5,cheek,diff_bin4,0.2652947236675758
pp401,dyn,828,trial5,cheek,diff_bin5,0.32014670318289484
pp401,dyn,828,trial5,cheek,diff_bin6,0.26993680800992104
pp401,dyn,828,trial6,brow,diff_bin1,-1.4307995671319338
pp401,dyn,828,trial6,brow,diff_bin2,-1.663427300753398
pp401,dyn,828,trial6,brow,diff_bin3,-1.6878044934062817
pp401,dyn,828,trial6,brow,diff_bin4,-1.5818238023227535
pp401,dyn,828,trial6,brow,diff_bin5,-1.6887497076738183
pp401,dyn,828,trial6,brow,diff_bin6,-1.6292362167548582
pp401,dyn,828,trial6,cheek,diff_bin1,NA
pp401,dyn,828,trial6,cheek,diff_bin2,NA
pp401,dyn,828,trial6,cheek,diff_bin3,NA
pp401,dyn,828,trial6,cheek,diff_bin4,NA
pp401,dyn,828,trial6,cheek,diff_bin5,NA
pp401,dyn,828,trial6,cheek,diff_bin6,NA
pp401,dyn,828,trial7,brow,diff_bin1,-0.9139156476638335
pp401,dyn,828,trial7,brow,diff_bin2,-1.0868198427513296
pp401,dyn,828,trial7,brow,diff_bin3,-0.896540042177886
pp401,dyn,828,trial7,brow,diff_bin4,-0.852780122384533
pp401,dyn,828,trial7,brow,diff_bin5,-0.6853605039111375
pp401,dyn,828,trial7,brow,diff_bin6,11.403008102236074
pp401,dyn,828,trial7,cheek,diff_bin1,0.6115865847267985
pp401,dyn,828,trial7,cheek,diff_bin2,0.6661211567657179
pp401,dyn,828,trial7,cheek,diff_bin3,0.50235873691076
pp401,dyn,828,trial7,cheek,diff_bin4,0.5112858221845009
pp401,dyn,828,trial7,cheek,diff_bin5,0.8894768303147149
pp401,dyn,828,trial7,cheek,diff_bin6,6.773120354564586
pp401,dyn,828,trial8,brow,diff_bin1,0.40512177441073355
pp401,dyn,828,trial8,brow,diff_bin2,0.47279211437917457
pp401,dyn,828,trial8,brow,diff_bin3,0.18286805910828016
pp401,dyn,828,trial8,brow,diff_bin4,0.23506489143779158
pp401,dyn,828,trial8,brow,diff_bin5,0.5471956473398194
pp401,dyn,828,trial8,brow,diff_bin6,0.6000809690740796
pp401,dyn,828,trial8,cheek,diff_bin1,0.38361242202605034
pp401,dyn,828,trial8,cheek,diff_bin2,0.39236096559431644
pp401,dyn,828,trial8,cheek,diff_bin3,0.34219074635589253
pp401,dyn,828,trial8,cheek,diff_bin4,0.34248831586501727
pp401,dyn,828,trial8,cheek,diff_bin5,0.32397949239746127
pp401,dyn,828,trial8,cheek,diff_bin6,0.3944836280927393
pp401,dyn,929,trial1,brow,diff_bin1,0.7071983771274789
