pp_no,condition,emotion,trial,muscle,bin,Zdiff
pp401,dyn,929,trial7,cheek,diff_bin1,0.3365142656878892
pp401,dyn,929,trial7,cheek,diff_bin2,0.4318168557142549
pp401,dyn,929,trial7,cheek,diff_bin3,0.473147597140388
pp401,dyn,929,trial7,cheek,diff_bin4,0.44906428979538937
pp401,dyn,929,trial7,cheek,diff_bin5,-0.0808315721631702
pp401,dyn,929,trial7,cheek,diff_bin6,0.05994535016004013
pp401,dyn,929,trial8,brow,diff_bin1,0.19715821230947678
pp401,dyn,929,trial8,brow,diff_bin2,0.17222021357745154
pp401,dyn,929,trial8,brow,diff_bin3,0.10267480866278983
pp401,dyn,929,trial8,brow,diff_bin4,0.22425382461389037
pp401,dyn,929,trial8,brow,diff_bin5,0.14009435102578327
pp401,dyn,929,trial8,brow,diff_bin6,0.04800690198564403
pp401,dyn,929,trial8,cheek,diff_bin1,-0.04951275588657367
pp401,dyn,929,trial8,cheek,diff_bin2,0.5045926141541635
pp401,dyn,929,trial8,cheek,diff_bin3,0.04400199036308905
pp401,dyn,929,trial8,cheek,diff_bin4,-0.24680657500979403
pp401,dyn,929,trial8,cheek,diff_bin5,0.6927789467442969
pp401,dyn,929,trial8,cheek,diff_bin6,0.3707777658319962
pp402,dyn,626,trial1,brow,diff_bin1,-0.32085123408009336
pp402,dyn,626,trial1,brow,diff_bin2,0.03225158319222726
pp402,dyn,626,trial1,brow,diff_bin3,-0.8869069780790125
pp402,dyn,626,trial1,brow,diff_bin4,-0.24818691438606458
pp402,dyn,626,trial1,brow,diff_bin5,-1.1349551759782288
pp402,dyn,626,trial1,brow,diff_bin6,-0.5146381662071536
pp402,dyn,626,trial1,cheek,diff_bin1,0.03962785248861456
pp402,dyn,626,trial1,cheek,diff_bin2,-0.016634206344022906
pp402,dyn,626,trial1,cheek,diff_bin3,0.013834154491534245
pp402,dyn,626,trial1,cheek,diff_bin4,-0.06862499963896562
pp402,dyn,626,trial1,cheek,diff_bin5,-0.11731742676868817
pp402,dyn,626,trial1,cheek,diff_bin6,-0.12132767052352389
pp402,dyn,626,trial2,brow,diff_bin1,0.3167590977180685
