pp_no,condition,emotion,bin,bin_no,trial,muscle,rms,bl_outlier
pp406,dyn,929,bin_5,5,trial8,brow,8.0906,TRUE
pp406,dyn,929,bin_6,6,trial8,brow,7.4783,TRUE
pp407,dyn,626,bin_0,0,trial6,brow,13.6128,TRUE
pp407,dyn,626,bin_1,1,trial6,brow,22.1017,TRUE
pp407,dyn,626,bin_2,2,trial6,brow,14.9799,TRUE
pp407,dyn,626,bin_3,3,trial6,brow,9.9048,TRUE
pp407,dyn,626,bin_4,4,trial6,brow,8.9478,TRUE
pp407,dyn,626,bin_5,5,trial6,brow,11.1927,TRUE
pp407,dyn,626,bin_6,6,trial6,brow,10.2558,TRUE
pp407,dyn,626,bin_0,0,trial6,cheek,13.1836,TRUE
pp407,dyn,626,bin_1,1,trial6,cheek,20.6878,TRUE
pp407,dyn,626,bin_2,2,trial6,cheek,12.125,TRUE
pp407,dyn,626,bin_3,3,trial6,cheek,5.4523,TRUE
pp407,dyn,626,bin_4,4,trial6,cheek,3.7807,TRUE
pp407,dyn,626,bin_5,5,trial6,cheek,3.9687,TRUE
pp407,dyn,626,bin_6,6,trial6,cheek,4.7832,TRUE
pp407,dyn,727,bin_0,0,trial1,brow,9.1461,TRUE
pp407,dyn,727,bin_1,1,trial1,brow,30.3317,TRUE
pp407,dyn,727,bin_2,2,trial1,brow,59.4439,TRUE
pp407,dyn,727,bin_3,3,trial1,brow,8.7555,TRUE
pp407,dyn,727,bin_4,4,trial1,brow,10.5199,TRUE
pp407,dyn,727,bin_5,5,trial1,brow,4.2657,TRUE
pp407,dyn,727,bin_6,6,trial1,brow,3.7584,TRUE
pp407,dyn,727,bin_0,0,trial3,cheek,11.7545,TRUE
pp407,dyn,727,bin_1,1,trial3,cheek,6.9725,TRUE
pp407,dyn,727,bin_2,2,trial3,cheek,6.0554,TRUE
pp407,dyn,727,bin_3,3,trial3,cheek,6.2893,TRUE
pp407,dyn,727,bin_4,4,trial3,cheek,4.8407,TRUE
pp407,dyn,727,bin_5,5,trial3,cheek,5.2817,TRUE
pp407,dyn,727,bin_6,6,trial3,cheek,6.8572,TRUE
pp407,dyn,828,bin_0,0,trial1,brow,9.845,TRUE
pp407,dyn,828,bin_1,1,trial1,brow,8.2345,TRUE
pp407,dyn,828,bin_2,2,trial1,brow,7.326,TRUE
pp407,dyn,828,bin_3,3,trial1,brow,5.4488,TRUE
pp407,dyn,828,bin_4,4,trial1,brow,4.3021,TRUE
pp407,dyn,828,bin_5,5,trial1,brow,5.0944,TRUE
pp407,dyn,828,bin_6,6,trial1,brow,13.7826,TRUE
pp407,dyn,828,bin_0,0,trial1,cheek,12.5591,TRUE
pp407,dyn,828,bin_1,1,trial1,cheek,6.157,TRUE
pp407,dyn,828,bin_2,2,trial1,cheek,4.072,TRUE
pp407,dyn,828,bin_3,3,trial1,cheek,3.7463,TRUE
pp407,dyn,828,bin_4,4,trial1,cheek,3.5415,TRUE
pp407,dyn,828,bin_5,5,trial1,cheek,3.6344,TRUE
pp407,dyn,828,bin_6,6,trial1,cheek,11.2671,TRUE
pp407,dyn,929,bin_0,0,trial7,brow,9.8377,TRUE
pp407,dyn,929,bin_1,1,trial7,brow,9.3965,TRUE
pp407,dyn,929,bin_2,2,trial7,brow,8.9732,TRUE
pp407,dyn,929,bin_3,3,trial7,brow,8.8353,TRUE
pp407,dyn,929,bin_4,4,trial7,brow,11.9545,TRUE
pp407,dyn,929,bin_5,5,trial7,brow,8.1752,TRUE
pp407,dyn,929,bin_6,6,trial7,brow,8.424,TRUE
pp407,dyn,929,bin_0,0,trial7,cheek,12.1745,TRUE
pp407,dyn,929,bin_1,1,trial7,cheek,3.9075,TRUE
pp407,dyn,929,bin_2,2,trial7,cheek,6.8935,TRUE
pp407,dyn,929,bin_3,3,trial7,cheek,5.9925,TRUE
pp407,dyn,929,bin_4,4,trial7,cheek,6.6492000000000004,TRUE
pp407,dyn,929,bin_5,5,trial7,cheek,6.6336,TRUE
pp407,dyn,929,bin_6,6,trial7,cheek,5.1956,TRUE
pp408,dyn,626,bin_0,0,trial3,brow,102.5664,TRUE
pp408,dyn,626,bin_1,1,trial3,brow,59.5097,TRUE
pp408,dyn,626,bin_2,2,trial3,brow,45.7401,TRUE
