pp_no,model,emotion,trial,muscle,bin,zdiff
pp401,adult,232,trial3,cheek,diff_bin8,0.02765315176917371
pp401,adult,232,trial3,cheek,diff_bin9,-0.08943375114102131
pp401,adult,232,trial4,brow,diff_bin1,0.022860168663626834
pp401,adult,232,trial4,brow,diff_bin10,0.3545558996545562
pp401,adult,232,trial4,brow,diff_bin2,-0.09171712320578773
pp401,adult,232,trial4,brow,diff_bin3,0.5664218163017308
pp401,adult,232,trial4,brow,diff_bin4,0.5176818101835614
pp401,adult,232,trial4,brow,diff_bin5,0.046251969156640094
pp401,adult,232,trial4,brow,diff_bin6,0.15959587518187768
pp401,adult,232,trial4,brow,diff_bin7,0.05405632441203634
pp401,adult,232,trial4,brow,diff_bin8,-0.1377351743574976
pp401,adult,232,trial4,brow,diff_bin9,-0.16859108573509984
pp401,adult,232,trial4,cheek,diff_bin1,0.04542730554809977
pp401,adult,232,trial4,cheek,diff_bin10,-0.254789679509672
pp401,adult,232,trial4,cheek,diff_bin2,-0.022143968358058565
pp401,adult,232,trial4,cheek,diff_bin3,-0.1861996758243295
pp401,adult,232,trial4,cheek,diff_bin4,0.167031470768625
pp401,adult,232,trial4,cheek,diff_bin5,-0.3444110913994904
pp401,adult,232,trial4,cheek,diff_bin6,-0.3283124800205386
pp401,adult,232,trial4,cheek,diff_bin7,-0.319264551060678
pp401,adult,232,trial4,cheek,diff_bin8,-0.2583284250584175
pp401,adult,232,trial4,cheek,diff_bin9,-0.3393710598603681
pp401,adult,232,trial5,brow,diff_bin1,-0.2594575980138692
pp401,adult,232,trial5,brow,diff_bin10,-0.21907484425365786
pp401,adult,232,trial5,brow,diff_bin2,0.1850716724460867
pp401,adult,232,trial5,brow,diff_bin3,0.0788728982078061
pp401,adult,232,trial5,brow,diff_bin4,-0.3360125814455492
pp401,adult,232,trial5,brow,diff_bin5,-0.18377449078238323
pp401,adult,232,trial5,brow,diff_bin6,0.00036150964398284913
pp401,adult,232,trial5,brow,diff_bin7,NA
pp401,adult,232,trial5,brow,diff_bin8,-0.3861135650469489
pp401,adult,232,trial5,brow,diff_bin9,-0.13037738983878616
pp401,adult,232,trial5,cheek,diff_bin1,0.1121675104238708
pp401,adult,232,trial5,cheek,diff_bin10,0.2574839516888306
pp401,adult,232,trial5,cheek,diff_bin2,0.25592904834165453
pp401,adult,232,trial5,cheek,diff_bin3,0.3081523538640495
pp401,adult,232,trial5,cheek,diff_bin4,0.2932333243346795
pp401,adult,232,trial5,cheek,diff_bin5,0.18673584939232124
pp401,adult,232,trial5,cheek,diff_bin6,0.20748576647360134
pp401,adult,232,trial5,cheek,diff_bin7,0.20024742330571288
pp401,adult,232,trial5,cheek,diff_bin8,0.21732455144624974
pp401,adult,232,trial5,cheek,diff_bin9,0.1715487330789554
pp401,adult,232,trial6,brow,diff_bin1,NA
pp401,adult,232,trial6,brow,diff_bin10,0.1805634345328877
pp401,adult,232,trial6,brow,diff_bin2,-0.13329073226382548
pp401,adult,232,trial6,brow,diff_bin3,-7.868151074923238e-4
pp401,adult,232,trial6,brow,diff_bin4,-0.1745666274974061
pp401,adult,232,trial6,brow,diff_bin5,0.03077085028490037
pp401,adult,232,trial6,brow,diff_bin6,-0.1652949683929027
pp401,adult,232,trial6,brow,diff_bin7,0.2646250593955073
pp401,adult,232,trial6,brow,diff_bin8,-0.16842096354969618
pp401,adult,232,trial6,brow,diff_bin9,0.14086116951429134
pp401,adult,232,trial6,cheek,diff_bin1,0.0328942483962929
pp401,adult,232,trial6,cheek,diff_bin10,0.021111834239674554
pp401,adult,232,trial6,cheek,diff_bin2,-0.024208236594826738
pp401,adult,232,trial6,cheek,diff_bin3,-0.019007352985306925
pp401,adult,232,trial6,cheek,diff_bin4,-0.061767195032647715
pp401,adult,232,trial6,cheek,diff_bin5,0.05092308462001499
pp401,adult,232,trial6,cheek,diff_bin6,NA
pp401,adult,232,trial6,cheek,diff_bin7,0.12744845711163524
pp401,adult,232,trial6,cheek,diff_bin8,0.2880324407251597
pp401,adult,232,trial6,cheek,diff_bin9,0.05229032721839394
pp401,adult,232,trial7,brow,diff_bin1,0.10736836426293156
pp401,adult,232,trial7,brow,diff_bin10,-0.4019987241090223
pp401,adult,232,trial7,brow,diff_bin2,-0.006485908318517336
pp401,adult,232,trial7,brow,diff_bin3,-0.2657946494201583
pp401,adult,232,trial7,brow,diff_bin4,0.27914924097435156
pp401,adult,232,trial7,brow,diff_bin5,0.2734926783096774
pp401,adult,232,trial7,brow,diff_bin6,-0.15736302149845358
pp401,adult,232,trial7,brow,diff_bin7,0.008697496728766005
pp401,adult,232,trial7,brow,diff_bin8,0.5972139318598068
pp401,adult,232,trial7,brow,diff_bin9,0.033790519075816774
pp401,adult,232,trial7,cheek,diff_bin1,0.014878816511770698
pp401,adult,232,trial7,cheek,diff_bin10,-0.0160986113789518
pp401,adult,232,trial7,cheek,diff_bin2,0.1217248042733235
pp401,adult,232,trial7,cheek,diff_bin3,0.05967611811748008
pp401,adult,232,trial7,cheek,diff_bin4,0.26828784908386405
pp401,adult,232,trial7,cheek,diff_bin5,0.25826140336241865
pp401,adult,232,trial7,cheek,diff_bin6,0.17048979028217176
pp401,adult,232,trial7,cheek,diff_bin7,0.15688438599438143
pp401,adult,232,trial7,cheek,diff_bin8,0.04719667832247243
pp401,adult,232,trial7,cheek,diff_bin9,0.11951308830535762
pp401,adult,232,trial8,brow,diff_bin1,-0.4363634055605765
pp401,adult,232,trial8,brow,diff_bin10,NA
pp401,adult,232,trial8,brow,diff_bin2,-0.5499412295907442
pp401,adult,232,trial8,brow,diff_bin3,-0.5486227826538653
pp401,adult,232,trial8,brow,diff_bin4,-0.352727086161466
pp401,adult,232,trial8,brow,diff_bin5,-0.20740020928032682
pp401,adult,232,trial8,brow,diff_bin6,-0.17960649723999167
pp401,adult,232,trial8,brow,diff_bin7,-0.43013268052016496
pp401,adult,232,trial8,brow,diff_bin8,-0.11389680312779973
pp401,adult,232,trial8,brow,diff_bin9,-0.39908538168398333
pp401,adult,232,trial8,cheek,diff_bin1,-0.16996702105337977
pp401,adult,232,trial8,cheek,diff_bin10,-0.20371914715845943
pp401,adult,232,trial8,cheek,diff_bin2,-0.16539614138625022
pp401,adult,232,trial8,cheek,diff_bin3,-0.059716331135079376
pp401,adult,232,trial8,cheek,diff_bin4,-0.0436847414521265
pp401,adult,232,trial8,cheek,diff_bin5,-0.17992644507882624
pp401,adult,232,trial8,cheek,diff_bin6,-0.18380029910756648
pp401,adult,232,trial8,cheek,diff_bin7,-0.18115964428520723
pp401,adult,232,trial8,cheek,diff_bin8,-0.13266274506035483
pp401,adult,232,trial8,cheek,diff_bin9,-0.24143895766667792
pp401,adult,434,trial1,brow,diff_bin1,-0.13063257311689191
pp401,adult,434,trial1,brow,diff_bin10,0.24559263990346514
pp401,adult,434,trial1,brow,diff_bin2,-0.12114826128063358
pp401,adult,434,trial1,brow,diff_bin3,-0.0465284177079211
pp401,adult,434,trial1,brow,diff_bin4,-0.21220616101798204
pp401,adult,434,trial1,brow,diff_bin5,0.03313129560737735
pp401,adult,434,trial1,brow,diff_bin6,-0.07047311530349631
pp401,adult,434,trial1,brow,diff_bin7,0.2347473505839771
pp401,adult,434,trial1,brow,diff_bin8,-0.055034526978107595
pp401,adult,434,trial1,brow,diff_bin9,-0.40221137684077685
pp401,adult,434,trial1,cheek,diff_bin1,0.05956888340388167
pp401,adult,434,trial1,cheek,diff_bin10,0.05281309644718574
pp401,adult,434,trial1,cheek,diff_bin2,-0.05148606686640633
pp401,adult,434,trial1,cheek,diff_bin3,-0.013230082790196052
pp401,adult,434,trial1,cheek,diff_bin4,0.03145998410191497
pp401,adult,434,trial1,cheek,diff_bin5,0.01391370408938547
pp401,adult,434,trial1,cheek,diff_bin6,NA
pp401,adult,434,trial1,cheek,diff_bin7,0.1730768277477318
pp401,adult,434,trial1,cheek,diff_bin8,0.029838059058739985
pp401,adult,434,trial1,cheek,diff_bin9,0.12171139993412364
pp401,adult,434,trial2,brow,diff_bin1,0.042955851814442725
pp401,adult,434,trial2,brow,diff_bin10,-0.8124822922150559
pp401,adult,434,trial2,brow,diff_bin2,0.0887187196880469
pp401,adult,434,trial2,brow,diff_bin3,0.027559794035404817
pp401,adult,434,trial2,brow,diff_bin4,-0.5230406590237788
pp401,adult,434,trial2,brow,diff_bin5,-0.5211905802575134
pp401,adult,434,trial2,brow,diff_bin6,-0.07038805421079464
pp401,adult,434,trial2,brow,diff_bin7,-0.6141198240343027
pp401,adult,434,trial2,brow,diff_bin8,-0.10149914886650246
pp401,adult,434,trial2,brow,diff_bin9,-0.4085696935202417
pp401,adult,434,trial2,cheek,diff_bin1,-0.021835668556463406
pp401,adult,434,trial2,cheek,diff_bin10,0.03462340815306625
pp401,adult,434,trial2,cheek,diff_bin2,0.030682532428327025
pp401,adult,434,trial2,cheek,diff_bin3,0.09309313574256481
pp401,adult,434,trial2,cheek,diff_bin4,0.022291416089256277
pp401,adult,434,trial2,cheek,diff_bin5,-0.04666050475448069
pp401,adult,434,trial2,cheek,diff_bin6,-0.05593630748073769
pp401,adult,434,trial2,cheek,diff_bin7,0.008431329356670014
pp401,adult,434,trial2,cheek,diff_bin8,-0.0264333569019925
pp401,adult,434,trial2,cheek,diff_bin9,-0.055748646731940577
pp401,adult,434,trial3,brow,diff_bin1,-0.09730989005093549
pp401,adult,434,trial3,brow,diff_bin10,-0.06392341116545275
pp401,adult,434,trial3,brow,diff_bin2,-0.4796807670190021
pp401,adult,434,trial3,brow,diff_bin3,0.5105366783966044
pp401,adult,434,trial3,brow,diff_bin4,0.3648695571446574
pp401,adult,434,trial3,brow,diff_bin5,-0.15051560353595306
pp401,adult,434,trial3,brow,diff_bin6,-0.583561626481157
pp401,adult,434,trial3,brow,diff_bin7,-0.045720337327253446
pp401,adult,434,trial3,brow,diff_bin8,-0.48523100331779884
pp401,adult,434,trial3,brow,diff_bin9,-0.08676231455590411
pp401,adult,434,trial3,cheek,diff_bin1,-0.18830415707869702
pp401,adult,434,trial3,cheek,diff_bin10,0.03639278092743892
pp401,adult,434,trial3,cheek,diff_bin2,-0.20453681184964678
pp401,adult,434,trial3,cheek,diff_bin3,0.15259499745044755
pp401,adult,434,trial3,cheek,diff_bin4,0.2030757388768693
pp401,adult,434,trial3,cheek,diff_bin5,0.3076832019920567
pp401,adult,434,trial3,cheek,diff_bin6,0.5343907908781618
pp401,adult,434,trial3,cheek,diff_bin7,0.9417888721774812
pp401,adult,434,trial3,cheek,diff_bin8,0.7897702613126247
pp401,adult,434,trial3,cheek,diff_bin9,0.28166537960525784
pp401,adult,434,trial4,brow,diff_bin1,0.06530565392185816
pp401,adult,434,trial4,brow,diff_bin10,-0.5196382153157042
pp401,adult,434,trial4,brow,diff_bin2,-0.9752679583732536
pp401,adult,434,trial4,brow,diff_bin3,-0.28370000943390117
pp401,adult,434,trial4,brow,diff_bin4,-0.8985428527561699
pp401,adult,434,trial4,brow,diff_bin5,0.22415724454259434
pp401,adult,434,trial4,brow,diff_bin6,-0.5810735895196275
pp401,adult,434,trial4,brow,diff_bin7,-0.6639656243575965
pp401,adult,434,trial4,brow,diff_bin8,-1.1396697852927866
pp401,adult,434,trial4,brow,diff_bin9,-0.499797715442994
pp401,adult,434,trial4,cheek,diff_bin1,0.12333332497729861
pp401,adult,434,trial4,cheek,diff_bin10,-0.22791397941408648
pp401,adult,434,trial4,cheek,diff_bin2,0.1629029342950885
pp401,adult,434,trial4,cheek,diff_bin3,-0.15486033077521266
pp401,adult,434,trial4,cheek,diff_bin4,-0.19107885529305435
pp401,adult,434,trial4,cheek,diff_bin5,-0.15869397178635358
pp401,adult,434,trial4,cheek,diff_bin6,-0.3080183104720515
pp401,adult,434,trial4,cheek,diff_bin7,-0.22755206225569202
pp401,adult,434,trial4,cheek,diff_bin8,-0.26269823963755023
pp401,adult,434,trial4,cheek,diff_bin9,-0.2669072021462853
pp401,adult,434,trial5,brow,diff_bin1,-0.3942368993999772
pp401,adult,434,trial5,brow,diff_bin10,-0.5504515961469553
pp401,adult,434,trial5,brow,diff_bin2,0.4275383171927576
pp401,adult,434,trial5,brow,diff_bin3,-0.7288034422695947
pp401,adult,434,trial5,brow,diff_bin4,-0.4854861865959048
pp401,adult,434,trial5,brow,diff_bin5,0.09497071000163437
pp401,adult,434,trial5,brow,diff_bin6,-0.7223600644974282
pp401,adult,434,trial5,brow,diff_bin7,-1.251737774927496
pp401,adult,434,trial5,brow,diff_bin8,-0.42186048925490827
pp401,adult,434,trial5,brow,diff_bin9,-0.19610834922415377
pp401,adult,434,trial5,cheek,diff_bin1,-0.29618227895863397
pp401,adult,434,trial5,cheek,diff_bin10,-0.2403800148698943
pp401,adult,434,trial5,cheek,diff_bin2,-0.2913299081683088
pp401,adult,434,trial5,cheek,diff_bin3,-0.23515232258197488
pp401,adult,434,trial5,cheek,diff_bin4,-0.26296632642154605
pp401,adult,434,trial5,cheek,diff_bin5,NA
pp401,adult,434,trial5,cheek,diff_bin6,-0.2797485590996874
pp401,adult,434,trial5,cheek,diff_bin7,-0.25131795565692566
pp401,adult,434,trial5,cheek,diff_bin8,-0.23504508786837652
pp401,adult,434,trial5,cheek,diff_bin9,-0.2656203855831052
pp401,adult,434,trial6,brow,diff_bin1,0.6372139107028598
pp401,adult,434,trial6,brow,diff_bin10,0.19011154218867277
pp401,adult,434,trial6,brow,diff_bin2,-0.5014351414775047
pp401,adult,434,trial6,brow,diff_bin3,0.6683675359049184
pp401,adult,434,trial6,brow,diff_bin4,-0.10649648806273704
pp401,adult,434,trial6,brow,diff_bin5,0.4964590675544458
pp401,adult,434,trial6,brow,diff_bin6,0.42441232203596413
pp401,adult,434,trial6,brow,diff_bin7,-0.24244537947349576
pp401,adult,434,trial6,brow,diff_bin8,0.0649441442778751
pp401,adult,434,trial6,brow,diff_bin9,-0.6002123353775474
pp401,adult,434,trial6,cheek,diff_bin1,-0.05639205501353067
pp401,adult,434,trial6,cheek,diff_bin10,0.06493061908379899
pp401,adult,434,trial6,cheek,diff_bin2,0.04810817338805834
pp401,adult,434,trial6,cheek,diff_bin3,0.021540773094067878
pp401,adult,434,trial6,cheek,diff_bin4,0.14132194818342136
pp401,adult,434,trial6,cheek,diff_bin5,0.047357530392869884
pp401,adult,434,trial6,cheek,diff_bin6,0.10081403512164583
pp401,adult,434,trial6,cheek,diff_bin7,0.030199976217134383
pp401,adult,434,trial6,cheek,diff_bin8,0.060426761112668426
pp401,adult,434,trial6,cheek,diff_bin9,0.063308694040624
pp401,adult,434,trial7,brow,diff_bin1,0.8018496556273225
pp401,adult,434,trial7,brow,diff_bin10,0.8466555862080312
pp401,adult,434,trial7,brow,diff_bin2,0.10760228226786156
pp401,adult,434,trial7,brow,diff_bin3,0.6146939864100405
pp401,adult,434,trial7,brow,diff_bin4,0.19047305183265517
pp401,adult,434,trial7,brow,diff_bin5,0.6327056727896607
pp401,adult,434,trial7,brow,diff_bin6,0.16548635585148186
pp401,adult,434,trial7,brow,diff_bin7,0.7579368665199837
pp401,adult,434,trial7,brow,diff_bin8,NA
pp401,adult,434,trial7,brow,diff_bin9,0.35189774050762285
