pp_no,model,emotion,bin,bin_no,trial,muscle,rms
pp401,adult,131,bin_1,1,trial2,brow,9.776
pp401,adult,131,bin_2,2,trial2,brow,9.1677
pp401,adult,131,bin_3,3,trial2,brow,11.3137
pp401,adult,131,bin_4,4,trial2,brow,10.8863
pp401,adult,131,bin_5,5,trial2,brow,11.0186
pp401,adult,131,bin_6,6,trial2,brow,9.44
pp401,adult,131,bin_7,7,trial2,brow,7.9199
pp401,adult,131,bin_8,8,trial2,brow,10.8301
pp401,adult,131,bin_9,9,trial2,brow,8.3795
pp401,adult,131,bin_10,10,trial2,brow,5.9303
pp401,adult,131,bin_0,0,trial2,cheek,3.9756
pp401,adult,131,bin_1,1,trial2,cheek,3.4807
pp401,adult,131,bin_2,2,trial2,cheek,3.4857
pp401,adult,131,bin_3,3,trial2,cheek,3.3623
pp401,adult,131,bin_4,4,trial2,cheek,3.6073
pp401,adult,131,bin_5,5,trial2,cheek,4.6467
pp401,adult,131,bin_6,6,trial2,cheek,4.2112
pp401,adult,131,bin_7,7,trial2,cheek,3.404
pp401,adult,131,bin_8,8,trial2,cheek,3.2009
pp401,adult,131,bin_9,9,trial2,cheek,3.2248
pp401,adult,131,bin_10,10,trial2,cheek,3.7294
pp401,adult,131,bin_0,0,trial3,brow,7.726
pp401,adult,131,bin_1,1,trial3,brow,7.4623
pp401,adult,131,bin_2,2,trial3,brow,8.3764
pp401,adult,131,bin_3,3,trial3,brow,12.501
pp401,adult,131,bin_4,4,trial3,brow,9.2067
pp401,adult,131,bin_5,5,trial3,brow,10.354
pp401,adult,131,bin_6,6,trial3,brow,10.4363
pp401,adult,131,bin_7,7,trial3,brow,9.5802
pp401,adult,131,bin_8,8,trial3,brow,7.9417
pp401,adult,131,bin_9,9,trial3,brow,7.3329
pp401,adult,131,bin_10,10,trial3,brow,10.0771
pp401,adult,131,bin_0,0,trial4,brow,9.2833
pp401,adult,131,bin_1,1,trial4,brow,11.7458
pp401,adult,131,bin_2,2,trial4,brow,9.3902
pp401,adult,131,bin_3,3,trial4,brow,10.4525
pp401,adult,131,bin_4,4,trial4,brow,10.5178
pp401,adult,131,bin_5,5,trial4,brow,7.4426
pp401,adult,131,bin_6,6,trial4,brow,8.4427
pp401,adult,131,bin_7,7,trial4,brow,7.656
pp401,adult,131,bin_8,8,trial4,brow,6.8473
pp401,adult,131,bin_9,9,trial4,brow,10.1434
pp401,adult,131,bin_10,10,trial4,brow,7.9704
pp401,adult,131,bin_0,0,trial4,cheek,3.8494
pp401,adult,131,bin_1,1,trial4,cheek,3.6281
pp401,adult,131,bin_2,2,trial4,cheek,4.3817
pp401,adult,131,bin_3,3,trial4,cheek,4.4364
pp401,adult,131,bin_4,4,trial4,cheek,4.1852
pp401,adult,131,bin_5,5,trial4,cheek,3.4813
pp401,adult,131,bin_6,6,trial4,cheek,3.8045
pp401,adult,131,bin_7,7,trial4,cheek,3.7175
pp401,adult,131,bin_8,8,trial4,cheek,7.2462
pp401,adult,131,bin_9,9,trial4,cheek,7.4187
pp401,adult,131,bin_10,10,trial4,cheek,6.4436
pp401,adult,131,bin_0,0,trial5,brow,9.2341
pp401,adult,131,bin_1,1,trial5,brow,8.3228
pp401,adult,131,bin_2,2,trial5,brow,7.453
pp401,adult,131,bin_3,3,trial5,brow,11.1695
pp401,adult,131,bin_4,4,trial5,brow,9.8307
pp401,adult,131,bin_5,5,trial5,brow,10.0506
pp401,adult,131,bin_6,6,trial5,brow,10.0065
pp401,adult,131,bin_7,7,trial5,brow,7.2553
pp401,adult,131,bin_8,8,trial5,brow,8.5359
pp401,adult,131,bin_9,9,trial5,brow,5.6852
pp401,adult,131,bin_10,10,trial5,brow,8.437
pp401,adult,131,bin_0,0,trial5,cheek,4.208
pp401,adult,131,bin_1,1,trial5,cheek,4.655
pp401,adult,131,bin_2,2,trial5,cheek,3.7888
pp401,adult,131,bin_3,3,trial5,cheek,4.054
pp401,adult,131,bin_4,4,trial5,cheek,3.8517
pp401,adult,131,bin_5,5,trial5,cheek,4.254
pp401,adult,131,bin_6,6,trial5,cheek,3.8024
pp401,adult,131,bin_7,7,trial5,cheek,4.5473
pp401,adult,131,bin_8,8,trial5,cheek,3.3069
pp401,adult,131,bin_9,9,trial5,cheek,3.9888
pp401,adult,131,bin_10,10,trial5,cheek,3.8278
pp401,adult,131,bin_0,0,trial6,cheek,4.4771
pp401,adult,131,bin_1,1,trial6,cheek,4.4758
pp401,adult,131,bin_2,2,trial6,cheek,3.6091
pp401,adult,131,bin_3,3,trial6,cheek,3.8071
pp401,adult,131,bin_4,4,trial6,cheek,4.7167
pp401,adult,131,bin_5,5,trial6,cheek,5.9373
pp401,adult,131,bin_6,6,trial6,cheek,14.6053
pp401,adult,131,bin_7,7,trial6,cheek,4.3599
pp401,adult,131,bin_8,8,trial6,cheek,7.6917
pp401,adult,131,bin_9,9,trial6,cheek,6.1081
pp401,adult,131,bin_10,10,trial6,cheek,6.7382
pp401,adult,131,bin_0,0,trial7,brow,10.5071
pp401,adult,131,bin_1,1,trial7,brow,11.8786
pp401,adult,131,bin_2,2,trial7,brow,9.6862
pp401,adult,131,bin_3,3,trial7,brow,13.7327
pp401,adult,131,bin_4,4,trial7,brow,9.7917
pp401,adult,131,bin_5,5,trial7,brow,10.1907
pp401,adult,131,bin_6,6,trial7,brow,9.577
pp401,adult,131,bin_7,7,trial7,brow,8.7372
pp401,adult,131,bin_8,8,trial7,brow,11.0997
pp401,adult,131,bin_9,9,trial7,brow,8.2968
pp401,adult,131,bin_10,10,trial7,brow,10.4566
pp401,adult,131,bin_0,0,trial8,brow,9.3187
pp401,adult,131,bin_1,1,trial8,brow,8.4846
pp401,adult,131,bin_2,2,trial8,brow,12.422
pp401,adult,131,bin_3,3,trial8,brow,12.2417
pp401,adult,131,bin_4,4,trial8,brow,11.8994
pp401,adult,131,bin_5,5,trial8,brow,10.618
pp401,adult,131,bin_6,6,trial8,brow,10.751
pp401,adult,131,bin_7,7,trial8,brow,11.0902
pp401,adult,131,bin_8,8,trial8,brow,11.3263
pp401,adult,131,bin_9,9,trial8,brow,9.6484
pp401,adult,131,bin_10,10,trial8,brow,8.5518
pp401,adult,131,bin_0,0,trial8,cheek,3.8507
pp401,adult,131,bin_1,1,trial8,cheek,3.5833
pp401,adult,131,bin_2,2,trial8,cheek,4.7351
pp401,adult,131,bin_3,3,trial8,cheek,6.197
pp401,adult,131,bin_4,4,trial8,cheek,4.9313
pp401,adult,131,bin_5,5,trial8,cheek,8.0217
pp401,adult,131,bin_6,6,trial8,cheek,3.6945
pp401,adult,131,bin_7,7,trial8,cheek,3.729
pp401,adult,131,bin_8,8,trial8,cheek,3.587
pp401,adult,131,bin_9,9,trial8,cheek,3.7883
pp401,adult,131,bin_10,10,trial8,cheek,4.4796
pp401,adult,232,bin_0,0,trial1,brow,8.3882
pp401,adult,232,bin_1,1,trial1,brow,10.0905
pp401,adult,232,bin_2,2,trial1,brow,6.819
pp401,adult,232,bin_3,3,trial1,brow,11.188
pp401,adult,232,bin_4,4,trial1,brow,11.1036
pp401,adult,232,bin_5,5,trial1,brow,8.1587
pp401,adult,232,bin_6,6,trial1,brow,7.9146
pp401,adult,232,bin_7,7,trial1,brow,8.9092
pp401,adult,232,bin_8,8,trial1,brow,6.751
pp401,adult,232,bin_9,9,trial1,brow,6.6493
pp401,adult,232,bin_10,10,trial1,brow,8.8764
pp401,adult,232,bin_0,0,trial1,cheek,3.5675
pp401,adult,232,bin_1,1,trial1,cheek,5.4189
pp401,adult,232,bin_2,2,trial1,cheek,3.1699
pp401,adult,232,bin_3,3,trial1,cheek,3.2102
pp401,adult,232,bin_4,4,trial1,cheek,3.2649
pp401,adult,232,bin_5,5,trial1,cheek,2.9914
pp401,adult,232,bin_6,6,trial1,cheek,2.9297
pp401,adult,232,bin_7,7,trial1,cheek,3.0863
pp401,adult,232,bin_8,8,trial1,cheek,2.718
pp401,adult,232,bin_9,9,trial1,cheek,3.0439
pp401,adult,232,bin_10,10,trial1,cheek,2.8184
pp401,adult,232,bin_0,0,trial3,brow,6.2171
pp401,adult,232,bin_1,1,trial3,brow,6.4945
pp401,adult,232,bin_2,2,trial3,brow,5.9644
pp401,adult,232,bin_3,3,trial3,brow,5.8734
pp401,adult,232,bin_4,4,trial3,brow,5.4484
pp401,adult,232,bin_5,5,trial3,brow,5.7658
pp401,adult,232,bin_6,6,trial3,brow,3.9035
pp401,adult,232,bin_7,7,trial3,brow,6.8981
pp401,adult,232,bin_8,8,trial3,brow,4.661
pp401,adult,232,bin_9,9,trial3,brow,4.7836
pp401,adult,232,bin_10,10,trial3,brow,4.2986
pp401,adult,232,bin_0,0,trial3,cheek,3.9712
pp401,adult,232,bin_1,1,trial3,cheek,3.6583
pp401,adult,232,bin_2,2,trial3,cheek,4.7177
pp401,adult,232,bin_3,3,trial3,cheek,3.3791
pp401,adult,232,bin_4,4,trial3,cheek,3.9336
pp401,adult,232,bin_5,5,trial3,cheek,4.9168
pp401,adult,232,bin_6,6,trial3,cheek,4.6628
pp401,adult,232,bin_7,7,trial3,cheek,4.1698
pp401,adult,232,bin_8,8,trial3,cheek,4.1775
pp401,adult,232,bin_9,9,trial3,cheek,3.304
pp401,adult,232,bin_10,10,trial3,cheek,2.5998
pp401,adult,232,bin_0,0,trial4,brow,7.0219
pp401,adult,232,bin_1,1,trial4,brow,7.1294
pp401,adult,232,bin_2,2,trial4,brow,6.5906
pp401,adult,232,bin_3,3,trial4,brow,9.6855
pp401,adult,232,bin_4,4,trial4,brow,9.4563
pp401,adult,232,bin_5,5,trial4,brow,7.2394
pp401,adult,232,bin_6,6,trial4,brow,7.7724
pp401,adult,232,bin_7,7,trial4,brow,7.2761
pp401,adult,232,bin_8,8,trial4,brow,6.3742
pp401,adult,232,bin_9,9,trial4,brow,6.2291
pp401,adult,232,bin_10,10,trial4,brow,8.6892
