pp_no,model,emotion,trial,muscle,bin,zdiff,emo
pp401,adult,232,trial4,cheek,diff_bin7,-0.319264551060678,Angry
pp401,adult,232,trial4,cheek,diff_bin8,-0.2583284250584175,Angry
pp401,adult,232,trial4,cheek,diff_bin9,-0.3393710598603681,Angry
pp401,adult,232,trial5,brow,diff_bin1,-0.2594575980138692,Angry
pp401,adult,232,trial5,brow,diff_bin10,-0.21907484425365786,Angry
pp401,adult,232,trial5,brow,diff_bin2,0.1850716724460867,Angry
pp401,adult,232,trial5,brow,diff_bin3,0.0788728982078061,Angry
pp401,adult,232,trial5,brow,diff_bin4,-0.3360125814455492,Angry
pp401,adult,232,trial5,brow,diff_bin5,-0.18377449078238323,Angry
pp401,adult,232,trial5,brow,diff_bin6,0.00036150964398284913,Angry
pp401,adult,232,trial5,brow,diff_bin7,NA,Angry
pp401,adult,232,trial5,brow,diff_bin8,-0.3861135650469489,Angry
pp401,adult,232,trial5,brow,diff_bin9,-0.13037738983878616,Angry
pp401,adult,232,trial5,cheek,diff_bin1,0.1121675104238708,Angry
pp401,adult,232,trial5,cheek,diff_bin10,0.2574839516888306,Angry
pp401,adult,232,trial5,cheek,diff_bin2,0.25592904834165453,Angry
pp401,adult,232,trial5,cheek,diff_bin3,0.3081523538640495,Angry
pp401,adult,232,trial5,cheek,diff_bin4,0.2932333243346795,Angry
pp401,adult,232,trial5,cheek,diff_bin5,0.18673584939232124,Angry
pp401,adult,232,trial5,cheek,diff_bin6,0.20748576647360134,Angry
pp401,adult,232,trial5,cheek,diff_bin7,0.20024742330571288,Angry
pp401,adult,232,trial5,cheek,diff_bin8,0.21732455144624974,Angry
pp401,adult,232,trial5,cheek,diff_bin9,0.1715487330789554,Angry
pp401,adult,232,trial6,brow,diff_bin1,NA,Angry
pp401,adult,232,trial6,brow,diff_bin10,0.1805634345328877,Angry
pp401,adult,232,trial6,brow,diff_bin2,-0.13329073226382548,Angry
pp401,adult,232,trial6,brow,diff_bin3,-7.868151074923238e-4,Angry
pp401,adult,232,trial6,brow,diff_bin4,-0.1745666274974061,Angry
pp401,adult,232,trial6,brow,diff_bin5,0.03077085028490037,Angry
pp401,adult,232,trial6,brow,diff_bin6,-0.1652949683929027,Angry
pp401,adult,232,trial6,brow,diff_bin7,0.2646250593955073,Angry
pp401,adult,232,trial6,brow,diff_bin8,-0.16842096354969618,Angry
pp401,adult,232,trial6,brow,diff_bin9,0.14086116951429134,Angry
pp401,adult,232,trial6,cheek,diff_bin1,0.0328942483962929,Angry
pp401,adult,232,trial6,cheek,diff_bin10,0.021111834239674554,Angry
pp401,adult,232,trial6,cheek,diff_bin2,-0.024208236594826738,Angry
pp401,adult,232,trial6,cheek,diff_bin3,-0.019007352985306925,Angry
pp401,adult,232,trial6,cheek,diff_bin4,-0.061767195032647715,Angry
pp401,adult,232,trial6,cheek,diff_bin5,0.05092308462001499,Angry
pp401,adult,232,trial6,cheek,diff_bin6,NA,Angry
pp401,adult,232,trial6,cheek,diff_bin7,0.12744845711163524,Angry
pp401,adult,232,trial6,cheek,diff_bin8,0.2880324407251597,Angry
pp401,adult,232,trial6,cheek,diff_bin9,0.05229032721839394,Angry
pp401,adult,232,trial7,brow,diff_bin1,0.10736836426293156,Angry
pp401,adult,232,trial7,brow,diff_bin10,-0.4019987241090223,Angry
pp401,adult,232,trial7,brow,diff_bin2,-0.006485908318517336,Angry
pp401,adult,232,trial7,brow,diff_bin3,-0.2657946494201583,Angry
pp401,adult,232,trial7,brow,diff_bin4,0.27914924097435156,Angry
pp401,adult,232,trial7,brow,diff_bin5,0.2734926783096774,Angry
pp401,adult,232,trial7,brow,diff_bin6,-0.15736302149845358,Angry
pp401,adult,232,trial7,brow,diff_bin7,0.008697496728766005,Angry
pp401,adult,232,trial7,brow,diff_bin8,0.5972139318598068,Angry
pp401,adult,232,trial7,brow,diff_bin9,0.033790519075816774,Angry
pp401,adult,232,trial7,cheek,diff_bin1,0.014878816511770698,Angry
pp401,adult,232,trial7,cheek,diff_bin10,-0.0160986113789518,Angry
pp401,adult,232,trial7,cheek,diff_bin2,0.1217248042733235,Angry
pp401,adult,232,trial7,cheek,diff_bin3,0.05967611811748008,Angry
pp401,adult,232,trial7,cheek,diff_bin4,0.26828784908386405,Angry
pp401,adult,232,trial7,cheek,diff_bin5,0.25826140336241865,Angry
pp401,adult,232,trial7,cheek,diff_bin6,0.17048979028217176,Angry
pp401,adult,232,trial7,cheek,diff_bin7,0.15688438599438143,Angry
pp401,adult,232,trial7,cheek,diff_bin8,0.04719667832247243,Angry
pp401,adult,232,trial7,cheek,diff_bin9,0.11951308830535762,Angry
pp401,adult,232,trial8,brow,diff_bin1,-0.4363634055605765,Angry
pp401,adult,232,trial8,brow,diff_bin10,NA,Angry
pp401,adult,232,trial8,brow,diff_bin2,-0.5499412295907442,Angry
pp401,adult,232,trial8,brow,diff_bin3,-0.5486227826538653,Angry
pp401,adult,232,trial8,brow,diff_bin4,-0.352727086161466,Angry
pp401,adult,232,trial8,brow,diff_bin5,-0.20740020928032682,Angry
pp401,adult,232,trial8,brow,diff_bin6,-0.17960649723999167,Angry
pp401,adult,232,trial8,brow,diff_bin7,-0.43013268052016496,Angry
pp401,adult,232,trial8,brow,diff_bin8,-0.11389680312779973,Angry
pp401,adult,232,trial8,brow,diff_bin9,-0.39908538168398333,Angry
pp401,adult,232,trial8,cheek,diff_bin1,-0.16996702105337977,Angry
pp401,adult,232,trial8,cheek,diff_bin10,-0.20371914715845943,Angry
pp401,adult,232,trial8,cheek,diff_bin2,-0.16539614138625022,Angry
pp401,adult,232,trial8,cheek,diff_bin3,-0.059716331135079376,Angry
pp401,adult,232,trial8,cheek,diff_bin4,-0.0436847414521265,Angry
pp401,adult,232,trial8,cheek,diff_bin5,-0.17992644507882624,Angry
pp401,adult,232,trial8,cheek,diff_bin6,-0.18380029910756648,Angry
pp401,adult,232,trial8,cheek,diff_bin7,-0.18115964428520723,Angry
pp401,adult,232,trial8,cheek,diff_bin8,-0.13266274506035483,Angry
pp401,adult,232,trial8,cheek,diff_bin9,-0.24143895766667792,Angry
pp401,adult,434,trial1,brow,diff_bin1,-0.13063257311689191,Fear
pp401,adult,434,trial1,brow,diff_bin10,0.24559263990346514,Fear
