pp_no,model,emotion,trial,muscle,bin,zdiff,emo_type
pp401,adult,131,trial6,brow,bin8,NA,adult_happy
pp401,adult,131,trial6,brow,bin9,NA,adult_happy
pp401,adult,131,trial6,cheek,bin1,-1.742564095973953e-4,adult_happy
pp401,adult,131,trial6,cheek,in10,0.3030855136465275,adult_happy
pp401,adult,131,trial6,cheek,bin2,-0.11634966425420631,adult_happy
pp401,adult,131,trial6,cheek,bin3,-0.08980907263861546,adult_happy
pp401,adult,131,trial6,cheek,bin4,0.0321167967227049,adult_happy
pp401,adult,131,trial6,cheek,bin5,0.19573016099538249,adult_happy
pp401,adult,131,trial6,cheek,bin6,NA,adult_happy
pp401,adult,131,trial6,cheek,bin7,-0.01570988554215788,adult_happy
pp401,adult,131,trial6,cheek,bin8,0.4308958879165572,adult_happy
pp401,adult,131,trial6,cheek,bin9,0.21862477234862965,adult_happy
pp401,adult,131,trial7,brow,bin1,0.2916532216015259,adult_happy
pp401,adult,131,trial7,brow,in10,-0.010738962953610584,adult_happy
pp401,adult,131,trial7,brow,bin2,-0.1745666274974061,adult_happy
pp401,adult,131,trial7,brow,bin3,NA,adult_happy
pp401,adult,131,trial7,brow,bin4,-0.1521317642972885,adult_happy
pp401,adult,131,trial7,brow,bin5,-0.06728332432717658,adult_happy
pp401,adult,131,trial7,brow,bin6,-0.1977883058050156,adult_happy
pp401,adult,131,trial7,brow,bin7,-0.376374069932585,adult_happy
pp401,adult,131,trial7,brow,bin8,0.12601800883781583,adult_happy
pp401,adult,131,trial7,brow,bin9,-0.4700263329973404,adult_happy
pp401,adult,131,trial7,cheek,bin1,NA,adult_happy
pp401,adult,131,trial7,cheek,in10,NA,adult_happy
pp401,adult,131,trial7,cheek,bin2,NA,adult_happy
pp401,adult,131,trial7,cheek,bin3,NA,adult_happy
pp401,adult,131,trial7,cheek,bin4,NA,adult_happy
pp401,adult,131,trial7,cheek,bin5,NA,adult_happy
pp401,adult,131,trial7,cheek,bin6,NA,adult_happy
pp401,adult,131,trial7,cheek,bin7,NA,adult_happy
pp401,adult,131,trial7,cheek,bin8,NA,adult_happy
pp401,adult,131,trial7,cheek,bin9,NA,adult_happy
pp401,adult,131,trial8,brow,bin1,-0.1773736435565676,adult_happy
pp401,adult,131,trial8,brow,in10,-0.16308337998265404,adult_happy
pp401,adult,131,trial8,brow,bin2,0.6599252224542581,adult_happy
pp401,adult,131,trial8,brow,bin3,0.6215839349188914,adult_happy
pp401,adult,131,trial8,brow,bin4,0.548792904839269,adult_happy
pp401,adult,131,trial8,brow,bin5,0.27629969436883883,adult_happy
pp401,adult,131,trial8,brow,bin6,0.3045825076922094,adult_happy
pp401,adult,131,trial8,brow,bin7,0.3767143143033924,adult_happy
pp401,adult,131,trial8,brow,bin8,0.4269216242706694,adult_happy
pp401,adult,131,trial8,brow,bin9,0.07011160565951384,adult_happy
pp401,adult,131,trial8,cheek,bin1,-0.03584320302024746,adult_happy
pp401,adult,131,trial8,cheek,in10,0.08429988922750037,adult_happy
pp401,adult,131,trial8,cheek,bin2,0.11854797588297245,adult_happy
pp401,adult,131,trial8,cheek,bin3,0.3145060106447515,adult_happy
pp401,adult,131,trial8,cheek,bin4,0.14484728939296704,adult_happy
pp401,adult,131,trial8,cheek,bin5,NA,adult_happy
pp401,adult,131,trial8,cheek,bin6,-0.020937577830077214,adult_happy
pp401,adult,131,trial8,cheek,bin7,-0.016313080806148517,adult_happy
pp401,adult,131,trial8,cheek,bin8,-0.035347242469855045,adult_happy
pp401,adult,131,trial8,cheek,bin9,-0.008364307660671033,adult_happy
pp401,adult,232,trial1,brow,bin1,0.36199874526596976,adult_angry
pp401,adult,232,trial1,brow,in10,0.10381706364262858,adult_angry
pp401,adult,232,trial1,brow,bin2,-0.3336946666694232,adult_angry
pp401,adult,232,trial1,brow,bin3,0.5953851183667167,adult_angry
pp401,adult,232,trial1,brow,bin4,0.5774372278066228,adult_angry
pp401,adult,232,trial1,brow,bin5,-0.04880380193769601,adult_angry
pp401,adult,232,trial1,brow,bin6,-0.10071233375901012,adult_angry
pp401,adult,232,trial1,brow,bin7,0.11079207324418164,adult_angry
pp401,adult,232,trial1,brow,bin8,-0.3481550524287405,adult_angry
pp401,adult,232,trial1,brow,bin9,-0.36978183524819014,adult_angry
pp401,adult,232,trial1,cheek,bin1,NA,adult_angry
pp401,adult,232,trial1,cheek,in10,-0.100411904945652,adult_angry
pp401,adult,232,trial1,cheek,bin2,-0.05329565265837832,adult_angry
pp401,adult,232,trial1,cheek,bin3,-0.04789370396086162,adult_angry
pp401,adult,232,trial1,cheek,bin4,-0.04056153041857469,adult_angry
pp401,adult,232,trial1,cheek,bin5,-0.07722239813000947,adult_angry
pp401,adult,232,trial1,cheek,bin6,-0.08549287541628198,adult_angry
pp401,adult,232,trial1,cheek,bin7,-0.06450168022940561,adult_angry
pp401,adult,232,trial1,cheek,bin8,-0.11386986150224454,adult_angry
