pp_no,model,emotion,bin,bin_no,trial,muscle,rms,bl_outlier
pp402,child,424,bin_6,6,trial8,brow,25.3792,TRUE
pp402,child,424,bin_7,7,trial8,brow,33.5582,TRUE
pp402,child,424,bin_8,8,trial8,brow,35.2211,TRUE
pp402,child,424,bin_9,9,trial8,brow,27.5384,TRUE
pp402,child,424,bin_10,10,trial8,brow,22.7385,TRUE
pp402,adult,434,bin_0,0,trial4,cheek,7.3108,TRUE
pp402,adult,434,bin_1,1,trial4,cheek,13.3978,TRUE
pp402,adult,434,bin_2,2,trial4,cheek,6.304,TRUE
pp402,adult,434,bin_3,3,trial4,cheek,5.8383,TRUE
pp402,adult,434,bin_4,4,trial4,cheek,7.8211,TRUE
pp402,adult,434,bin_5,5,trial4,cheek,8.0919,TRUE
pp402,adult,434,bin_6,6,trial4,cheek,5.6688,TRUE
pp402,adult,434,bin_7,7,trial4,cheek,5.2308,TRUE
pp402,adult,434,bin_8,8,trial4,cheek,4.4311,TRUE
pp402,adult,434,bin_9,9,trial4,cheek,5.2109,TRUE
pp402,adult,434,bin_10,10,trial4,cheek,6.9963,TRUE
pp402,child,525,bin_0,0,trial5,brow,20.4549,TRUE
pp402,child,525,bin_1,1,trial5,brow,24.9905,TRUE
pp402,child,525,bin_2,2,trial5,brow,19.5367,TRUE
pp402,child,525,bin_3,3,trial5,brow,17.8752,TRUE
pp402,child,525,bin_4,4,trial5,brow,13.325,TRUE
pp402,child,525,bin_5,5,trial5,brow,17.2947,TRUE
pp402,child,525,bin_6,6,trial5,brow,16.5431,TRUE
pp402,child,525,bin_7,7,trial5,brow,16.1256,TRUE
pp402,child,525,bin_8,8,trial5,brow,22.3972,TRUE
pp402,child,525,bin_9,9,trial5,brow,16.7134,TRUE
pp402,child,525,bin_10,10,trial5,brow,20.6283,TRUE
pp402,child,525,bin_0,0,trial8,cheek,31.6768,TRUE
pp402,child,525,bin_1,1,trial8,cheek,60.6031,TRUE
pp402,child,525,bin_2,2,trial8,cheek,40.3742,TRUE
pp402,child,525,bin_3,3,trial8,cheek,47.3737,TRUE
pp402,child,525,bin_4,4,trial8,cheek,31.5034,TRUE
pp402,child,525,bin_5,5,trial8,cheek,55.2617,TRUE
pp402,child,525,bin_6,6,trial8,cheek,79.4052,TRUE
pp402,child,525,bin_7,7,trial8,cheek,47.4029,TRUE
pp402,child,525,bin_8,8,trial8,cheek,36.4104,TRUE
pp402,child,525,bin_9,9,trial8,cheek,20.4497,TRUE
