pp_no,muscle,condition,trial,bin,bin_no,rms
5410,cheek,285,trial3,bin_0,0,3.3241
5410,cheek,285,trial3,bin_1,1,2.114
5410,cheek,285,trial3,bin_2,2,10.0008
5410,cheek,285,trial3,bin_3,3,3.4807
5410,cheek,285,trial3,bin_4,4,2.5728
5410,cheek,285,trial3,bin_5,5,2.3626
5410,cheek,285,trial3,bin_6,6,2.3284
5410,cheek,285,trial3,bin_7,7,2.5004
5410,cheek,285,trial3,bin_8,8,3.9452
5410,cheek,285,trial3,bin_9,9,20.0987
5410,cheek,285,trial3,bin_10,10,34.7465
5410,cheek,285,trial3,bin_11,11,17.9981
5410,cheek,285,trial3,bin_12,12,32.5795
5410,cheek,285,trial3,bin_13,13,139.931
5410,cheek,285,trial3,bin_14,14,145.2449
5410,cheek,285,trial3,bin_15,15,129.1734
5410,cheek,285,trial3,bin_16,16,102.3908
5410,cheek,285,trial3,bin_17,17,17.0561
5410,cheek,285,trial3,bin_18,18,5.2402
5410,cheek,285,trial3,bin_19,19,3.9506
5410,cheek,285,trial3,bin_20,20,4.7935
5410,cheek,285,trial4,bin_0,0,3.5039
5410,cheek,285,trial4,bin_1,1,2.3225
5410,cheek,285,trial4,bin_2,2,2.1029
5410,cheek,285,trial4,bin_3,3,2.0663
5410,cheek,285,trial4,bin_4,4,2.2792
5410,cheek,285,trial4,bin_5,5,2.4607
5410,cheek,285,trial4,bin_6,6,2.2388
5410,cheek,285,trial4,bin_7,7,2.5364
5410,cheek,285,trial4,bin_8,8,2.3522
5410,cheek,285,trial4,bin_9,9,2.4577
5410,cheek,285,trial4,bin_10,10,2.8449
5410,cheek,285,trial4,bin_11,11,2.4563
5410,cheek,285,trial4,bin_12,12,2.3098
5410,cheek,285,trial4,bin_13,13,2.4195
5410,cheek,285,trial4,bin_14,14,3.0901
5410,cheek,285,trial4,bin_15,15,2.7253
5410,cheek,285,trial4,bin_16,16,4.7625
5410,cheek,285,trial4,bin_17,17,8.342
